algorithm,stage,payload_kb,iterations,mean_us,p50_us,p99_us
HS256,full_verify,0.5,900000,51.359161,49.083000,89.458000
HS256,decode_only,0.5,900000,1.723443,1.666000,2.250000
HS256,primitive_preparsed,0.5,900000,2.743281,2.542000,3.833000
HS256,primitive_raw,0.5,900000,2.682252,2.458000,3.625000
HS256,full_verify,2,900000,56.033096,53.958000,77.916000
HS256,decode_only,2,900000,2.591890,2.500000,3.292000
HS256,primitive_preparsed,2,900000,3.815829,3.666000,4.417000
HS256,primitive_raw,2,900000,3.600388,3.417000,4.083000
HS256,full_verify,4,900000,62.154865,59.875000,87.750000
HS256,decode_only,4,900000,3.947600,3.708000,5.583000
HS256,primitive_preparsed,4,900000,5.688609,5.042000,8.667000
HS256,primitive_raw,4,900000,5.504283,4.708000,8.084000
RS256,full_verify,0.5,900000,59.524537,53.792000,134.833000
RS256,decode_only,0.5,900000,1.897821,1.667000,3.167000
RS256,primitive_preparsed,0.5,900000,21.634126,20.833000,36.334000
RS256,primitive_raw,0.5,900000,21.537577,20.834000,29.083000
RS256,full_verify,2,900000,60.078524,58.167000,79.167000
RS256,decode_only,2,900000,2.560379,2.500000,3.333000
RS256,primitive_preparsed,2,900000,22.261435,21.792000,29.958000
RS256,primitive_raw,2,900000,22.307076,21.750000,30.208000
RS256,full_verify,4,900000,66.612135,64.208000,87.125000
RS256,decode_only,4,900000,3.985490,3.708000,6.000000
RS256,primitive_preparsed,4,900000,25.295227,23.125000,51.417000
RS256,primitive_raw,4,900000,24.335925,23.125000,43.166000
