# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789295801.670053,service-a-deployment-6f799bd666-976nt,service-a,59.081,2.414591
1789295801.9027898,service-a-deployment-6f799bd666-976nt,istio-proxy,20.081,
1789295803.276154,service-a-deployment-6f799bd666-976nt,service-a,49.759,2.809855
1789295803.508554,service-a-deployment-6f799bd666-976nt,istio-proxy,13.818,
1789295804.8840861,service-a-deployment-6f799bd666-976nt,service-a,45.364,2.932735
1789295805.125931,service-a-deployment-6f799bd666-976nt,istio-proxy,14.204,
1789295806.5108612,service-a-deployment-6f799bd666-976nt,service-a,41.224,3.018751
1789295806.7417102,service-a-deployment-6f799bd666-976nt,istio-proxy,11.860,
1789295808.1210291,service-a-deployment-6f799bd666-976nt,service-a,57.626,4.247551
1789295808.3605728,service-a-deployment-6f799bd666-976nt,istio-proxy,17.955,
1789295809.7381382,service-a-deployment-6f799bd666-976nt,service-a,41.601,3.098623
1789295809.985733,service-a-deployment-6f799bd666-976nt,istio-proxy,13.479,
1789295811.393526,service-a-deployment-6f799bd666-976nt,service-a,61.557,4.126719
1789295811.628681,service-a-deployment-6f799bd666-976nt,istio-proxy,18.934,
1789295813.018095,service-a-deployment-6f799bd666-976nt,service-a,42.866,3.348479
1789295813.282315,service-a-deployment-6f799bd666-976nt,istio-proxy,11.433,
1789295814.653976,service-a-deployment-6f799bd666-976nt,service-a,45.390,2.881535
1789295814.8854349,service-a-deployment-6f799bd666-976nt,istio-proxy,13.709,
1789295816.269401,service-a-deployment-6f799bd666-976nt,service-a,41.765,2.881535
1789295816.512662,service-a-deployment-6f799bd666-976nt,istio-proxy,15.414,
1789295817.868465,service-a-deployment-6f799bd666-976nt,service-a,61.425,3.512319
1789295818.097079,service-a-deployment-6f799bd666-976nt,istio-proxy,15.310,
1789295819.4925282,service-a-deployment-6f799bd666-976nt,service-a,47.674,3.358719
1789295819.7372081,service-a-deployment-6f799bd666-976nt,istio-proxy,13.932,
1789295821.109053,service-a-deployment-6f799bd666-976nt,service-a,51.403,3.389439
1789295821.340904,service-a-deployment-6f799bd666-976nt,istio-proxy,15.943,
1789295822.729971,service-a-deployment-6f799bd666-976nt,service-a,49.761,2.742271
1789295822.959455,service-a-deployment-6f799bd666-976nt,istio-proxy,11.340,
1789295824.328311,service-a-deployment-6f799bd666-976nt,service-a,39.824,2.664447
1789295824.5603998,service-a-deployment-6f799bd666-976nt,istio-proxy,12.516,
1789295825.976862,service-a-deployment-6f799bd666-976nt,service-a,45.249,3.065855
1789295826.2128341,service-a-deployment-6f799bd666-976nt,istio-proxy,13.214,
1789295827.720086,service-a-deployment-6f799bd666-976nt,service-a,60.009,3.309567
1789295827.969137,service-a-deployment-6f799bd666-976nt,istio-proxy,18.081,
1789295829.370357,service-a-deployment-6f799bd666-976nt,service-a,50.989,3.450879
1789295829.6291142,service-a-deployment-6f799bd666-976nt,istio-proxy,15.256,
1789295831.010186,service-a-deployment-6f799bd666-976nt,service-a,72.169,3.100671
1789295831.249164,service-a-deployment-6f799bd666-976nt,istio-proxy,19.762,
1789295832.61435,service-a-deployment-6f799bd666-976nt,service-a,65.258,2.766847
1789295832.872779,service-a-deployment-6f799bd666-976nt,istio-proxy,22.435,
1789295834.2524211,service-a-deployment-6f799bd666-976nt,service-a,69.042,3.031039
1789295834.4942772,service-a-deployment-6f799bd666-976nt,istio-proxy,20.353,
1789295835.8730931,service-a-deployment-6f799bd666-976nt,service-a,74.834,3.096575
1789295836.145634,service-a-deployment-6f799bd666-976nt,istio-proxy,19.724,
1789295837.527927,service-a-deployment-6f799bd666-976nt,service-a,77.553,3.647487
1789295837.777633,service-a-deployment-6f799bd666-976nt,istio-proxy,21.889,
1789295839.1664598,service-a-deployment-6f799bd666-976nt,service-a,66.047,3.149823
1789295839.415998,service-a-deployment-6f799bd666-976nt,istio-proxy,20.021,
1789295840.7975192,service-a-deployment-6f799bd666-976nt,service-a,72.339,3.434495
1789295841.04227,service-a-deployment-6f799bd666-976nt,istio-proxy,21.731,
1789295842.5077388,service-a-deployment-6f799bd666-976nt,service-a,69.828,2.973695
1789295842.861184,service-a-deployment-6f799bd666-976nt,istio-proxy,22.228,
1789295844.2473862,service-a-deployment-6f799bd666-976nt,service-a,76.053,4.984831
1789295844.519519,service-a-deployment-6f799bd666-976nt,istio-proxy,41.863,
1789295845.892537,service-a-deployment-6f799bd666-976nt,service-a,64.992,3.207167
1789295846.137622,service-a-deployment-6f799bd666-976nt,istio-proxy,21.443,
1789295847.52016,service-a-deployment-6f799bd666-976nt,service-a,60.225,2.922495
1789295847.760025,service-a-deployment-6f799bd666-976nt,istio-proxy,20.291,
1789295849.140001,service-a-deployment-6f799bd666-976nt,service-a,74.321,3.194879
1789295849.410291,service-a-deployment-6f799bd666-976nt,istio-proxy,19.891,
1789295850.7882712,service-a-deployment-6f799bd666-976nt,service-a,77.013,3.338239
1789295851.0194209,service-a-deployment-6f799bd666-976nt,istio-proxy,20.550,
1789295852.489119,service-a-deployment-6f799bd666-976nt,service-a,60.989,3.164159
1789295852.771453,service-a-deployment-6f799bd666-976nt,istio-proxy,22.463,
1789295854.1479769,service-a-deployment-6f799bd666-976nt,service-a,112.737,3.471359
1789295854.390017,service-a-deployment-6f799bd666-976nt,istio-proxy,22.544,
1789295855.799244,service-a-deployment-6f799bd666-976nt,service-a,59.464,2.887679
1789295856.031035,service-a-deployment-6f799bd666-976nt,istio-proxy,18.541,
1789295857.424629,service-a-deployment-6f799bd666-976nt,service-a,76.263,3.569663
1789295857.697227,service-a-deployment-6f799bd666-976nt,istio-proxy,22.779,
1789295859.07142,service-a-deployment-6f799bd666-976nt,service-a,67.823,3.080191
1789295859.300475,service-a-deployment-6f799bd666-976nt,istio-proxy,18.777,
1789295860.698984,service-a-deployment-6f799bd666-976nt,service-a,79.210,3.256319
1789295860.9314811,service-a-deployment-6f799bd666-976nt,istio-proxy,22.310,
1789295862.323905,service-a-deployment-6f799bd666-976nt,service-a,85.216,3.022847
1789295862.583456,service-a-deployment-6f799bd666-976nt,istio-proxy,28.238,
1789295863.976377,service-a-deployment-6f799bd666-976nt,service-a,111.507,3.430399
1789295864.237547,service-a-deployment-6f799bd666-976nt,istio-proxy,28.527,
1789295865.627152,service-a-deployment-6f799bd666-976nt,service-a,87.189,3.155967
1789295865.858912,service-a-deployment-6f799bd666-976nt,istio-proxy,25.971,
1789295867.256333,service-a-deployment-6f799bd666-976nt,service-a,73.622,2.973695
1789295867.521069,service-a-deployment-6f799bd666-976nt,istio-proxy,23.266,
1789295868.920348,service-a-deployment-6f799bd666-976nt,service-a,95.547,3.260415
1789295869.163109,service-a-deployment-6f799bd666-976nt,istio-proxy,26.750,
1789295870.530098,service-a-deployment-6f799bd666-976nt,service-a,94.630,3.088383
1789295870.762244,service-a-deployment-6f799bd666-976nt,istio-proxy,24.713,
1789295872.13457,service-a-deployment-6f799bd666-976nt,service-a,77.053,2.988031
1789295872.4156969,service-a-deployment-6f799bd666-976nt,istio-proxy,24.974,
1789295873.792843,service-a-deployment-6f799bd666-976nt,service-a,111.718,3.348479
1789295874.023107,service-a-deployment-6f799bd666-976nt,istio-proxy,29.078,
1789295875.401559,service-a-deployment-6f799bd666-976nt,service-a,88.223,3.248127
