
         /\      Grafana   /‾‾/  
    /\  /  \     |\  __   /  /   
   /  \/    \    | |/ /  /   ‾‾\ 
  /          \   |   (  |  (‾)  |
 / __________ \  |_|\_\  \_____/ 


     execution: local
        script: /Users/katha/Desktop/EliteLabIndividual_Research/testbedForFinApiZTA/psao-artifact/experiments/k6/openloop-ramp.js
        output: -

     scenarios: (100.00%) 1 scenario, 150 max VUs, 3m10s max duration (incl. graceful stop):
              * step_00050: 50.00 iterations/s for 3m0s (maxVUs: 20-150, gracefulStop: 10s)

time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:06+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
