# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789302116.41726,service-a-deployment-6b79bf9989-4nvrm,service-a,205.211,3.368959
1789302116.654439,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,74.139,
1789302118.0515509,service-a-deployment-6b79bf9989-4nvrm,service-a,251.471,3.319807
1789302118.323754,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,89.733,
1789302119.87792,service-a-deployment-6b79bf9989-4nvrm,service-a,296.804,4.616191
1789302120.1730402,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,123.184,
1789302121.5574489,service-a-deployment-6b79bf9989-4nvrm,service-a,255.452,4.407295
1789302121.7921011,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,85.960,
1789302123.213684,service-a-deployment-6b79bf9989-4nvrm,service-a,269.880,3.643391
1789302123.463166,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,92.486,
1789302124.844596,service-a-deployment-6b79bf9989-4nvrm,service-a,252.580,3.801087
1789302125.084476,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,93.796,
1789302126.510753,service-a-deployment-6b79bf9989-4nvrm,service-a,243.363,4.050943
1789302126.7502568,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,90.846,
1789302128.233239,service-a-deployment-6b79bf9989-4nvrm,service-a,286.337,3.792895
1789302128.474943,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,99.363,
1789302129.8793468,service-a-deployment-6b79bf9989-4nvrm,service-a,243.357,4.546559
1789302130.232943,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,111.557,
1789302131.6260538,service-a-deployment-6b79bf9989-4nvrm,service-a,291.389,4.644863
1789302131.8835049,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,107.556,
1789302133.297184,service-a-deployment-6b79bf9989-4nvrm,service-a,266.220,3.401727
1789302133.555113,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,101.886,
1789302134.933444,service-a-deployment-6b79bf9989-4nvrm,service-a,242.113,3.422207
1789302135.181681,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,89.697,
1789302136.559337,service-a-deployment-6b79bf9989-4nvrm,service-a,230.735,3.518463
1789302136.796919,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,86.999,
1789302138.203493,service-a-deployment-6b79bf9989-4nvrm,service-a,237.744,3.831807
1789302138.44084,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,92.402,
1789302139.962792,service-a-deployment-6b79bf9989-4nvrm,service-a,308.804,5.038079
1789302140.193964,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,116.595,
1789302141.5723221,service-a-deployment-6b79bf9989-4nvrm,service-a,246.929,3.866623
1789302141.8033202,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,95.276,
1789302143.268018,service-a-deployment-6b79bf9989-4nvrm,service-a,253.842,3.768319
1789302143.5091982,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,103.082,
1789302144.952626,service-a-deployment-6b79bf9989-4nvrm,service-a,274.003,4.763647
1789302145.20754,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,103.755,
1789302146.615603,service-a-deployment-6b79bf9989-4nvrm,service-a,273.063,3.549183
1789302146.869707,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,107.041,
1789302148.263299,service-a-deployment-6b79bf9989-4nvrm,service-a,312.585,3.147775
1789302148.497487,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,109.580,
1789302149.882004,service-a-deployment-6b79bf9989-4nvrm,service-a,315.956,3.203071
1789302150.1242461,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,129.444,
1789302151.500499,service-a-deployment-6b79bf9989-4nvrm,service-a,329.544,3.336191
1789302151.743222,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,127.680,
1789302153.2092538,service-a-deployment-6b79bf9989-4nvrm,service-a,317.885,3.434495
1789302153.434614,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,123.831,
1789302154.857074,service-a-deployment-6b79bf9989-4nvrm,service-a,299.153,3.436543
1789302155.0927942,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,113.856,
1789302156.4709,service-a-deployment-6b79bf9989-4nvrm,service-a,322.897,3.680255
1789302156.7023811,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,118.220,
1789302158.078681,service-a-deployment-6b79bf9989-4nvrm,service-a,308.492,3.258367
1789302158.316587,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,117.267,
1789302159.878612,service-a-deployment-6b79bf9989-4nvrm,service-a,365.352,3.493887
1789302160.156464,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,163.344,
1789302161.546648,service-a-deployment-6b79bf9989-4nvrm,service-a,386.733,9.920511
1789302161.78239,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,154.575,
1789302163.197109,service-a-deployment-6b79bf9989-4nvrm,service-a,319.849,3.381247
1789302163.4350562,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,117.163,
1789302164.8560882,service-a-deployment-6b79bf9989-4nvrm,service-a,317.220,7.352319
1789302165.0761962,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,119.051,
1789302166.4834392,service-a-deployment-6b79bf9989-4nvrm,service-a,305.167,3.080191
1789302166.718775,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,114.849,
1789302168.147776,service-a-deployment-6b79bf9989-4nvrm,service-a,335.418,3.514367
1789302168.390474,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,125.777,
1789302169.811247,service-a-deployment-6b79bf9989-4nvrm,service-a,352.002,4.636671
1789302170.046497,service-a-deployment-6b79bf9989-4nvrm,istio-proxy,138.898,
