scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S8,local,50,50.033,2.8869,8.2500
S8,local,100,100.000,3.9198,20.9210
S8,local,150,149.767,9.8078,167.3474
S8,local,200,199.300,15.7606,222.9327
S8,local,250,250.000,7.8269,86.5440
S8,local,300,300.033,3.8393,38.0180
S8,local,350,349.633,5.6051,70.3522
S8,local,400,399.633,6.6394,137.5130
S8,local,450,450.033,5.5968,73.1050
S8,local,500,500.033,11.1196,137.5460
S8,local,550,549.067,14.0067,153.8051
S8,local,600,598.167,20.6700,199.6680
S8,local,650,583.700,130.0740,3481.6508
S8,local,700,685.333,16.4538,418.2054
S8,local,750,747.100,8.3555,181.9568
S8,local,800,797.700,10.9160,173.1187
S8,local,850,810.200,111.0212,1972.9980
S8,local,900,408.467,3221.6433,11317.5670
S8,local,950,271.733,8390.0675,20563.3144
S8,local,1000,242.167,12817.5199,38385.0427
