# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789303042.2760189,service-a-deployment-6b79bf9989-4nvrm,service-a,11.903,3.274751
1789303042.5606458,service-a-s8-deployment-8ddc896cd-skv7w,service-a,49.413,3.274751
1789303042.711002,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,22.454,
1789303043.985287,service-a-deployment-6b79bf9989-4nvrm,service-a,14.431,2.928639
1789303044.220921,service-a-s8-deployment-8ddc896cd-skv7w,service-a,54.241,2.928639
1789303044.3725572,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,25.463,
1789303045.687731,service-a-deployment-6b79bf9989-4nvrm,service-a,14.187,2.918399
1789303045.943179,service-a-s8-deployment-8ddc896cd-skv7w,service-a,53.167,2.918399
1789303046.083492,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,22.783,
1789303047.383229,service-a-deployment-6b79bf9989-4nvrm,service-a,11.643,3.008511
1789303047.637067,service-a-s8-deployment-8ddc896cd-skv7w,service-a,34.329,3.008511
1789303047.7734048,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,18.414,
1789303049.058902,service-a-deployment-6b79bf9989-4nvrm,service-a,11.102,2.922495
1789303049.30017,service-a-s8-deployment-8ddc896cd-skv7w,service-a,37.760,2.922495
1789303049.43756,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,19.772,
1789303050.740795,service-a-deployment-6b79bf9989-4nvrm,service-a,11.973,2.971647
1789303050.9984698,service-a-s8-deployment-8ddc896cd-skv7w,service-a,49.522,2.971647
1789303051.151786,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,23.233,
1789303052.431458,service-a-deployment-6b79bf9989-4nvrm,service-a,12.073,2.988031
1789303052.704912,service-a-s8-deployment-8ddc896cd-skv7w,service-a,49.771,2.988031
1789303052.84988,service-a-s8-deployment-8ddc896cd-skv7w,istio-proxy,21.740,
1789303054.117908,service-a-deployment-6b79bf9989-4nvrm,service-a,13.288,2.883583
