scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S3,local,50,50.033,2.3907,6.4630
S3,local,100,100.033,1.8656,5.4440
S3,local,150,150.033,1.5920,4.3050
S3,local,200,200.033,1.5823,6.4940
S3,local,250,250.033,1.3386,3.9430
S3,local,300,300.000,1.3398,4.0681
S3,local,350,350.033,1.2364,4.1760
S3,local,400,400.000,1.2234,4.8502
S3,local,450,450.033,1.2504,4.8150
S3,local,500,500.033,1.8593,17.7340
S3,local,550,549.967,3.0148,39.2772
S3,local,600,600.033,1.4478,13.5540
S3,local,650,650.033,1.5612,16.0830
S3,local,700,700.033,1.2855,11.3380
S3,local,750,750.033,1.2486,10.6510
S3,local,800,800.000,2.5425,37.6647
S3,local,850,850.033,3.6345,52.8470
S3,local,900,900.033,4.1081,81.3360
S3,local,950,950.033,2.7768,39.2230
S3,local,1000,1000.033,3.2255,53.8370
