scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S9,local,50,50.033,2.7919,6.0080,102.372,20.203,2.888
S9,local,100,100.000,2.2139,5.6534,133.416,28.324,3.010
S9,local,150,150.033,1.9425,4.2900,163.695,36.652,3.141
S9,local,200,200.033,1.8405,4.7790,187.881,43.347,3.323
S9,local,250,250.033,1.7084,4.0470,209.461,48.611,2.848
S9,local,300,300.033,1.5793,3.9890,219.770,55.910,2.900
S9,local,350,350.000,1.5027,3.3280,250.375,60.840,3.335
S9,local,400,400.033,1.5523,5.2650,267.759,68.922,3.392
S9,local,450,450.033,1.3958,3.7550,261.353,71.563,2.566
S9,local,500,500.000,1.4673,5.6968,280.735,78.775,2.808
S9,local,550,550.033,1.6241,6.2280,284.956,80.005,3.075
S9,local,600,600.033,1.3195,5.8760,305.849,89.042,3.402
S9,local,650,650.033,1.2225,3.7500,302.499,86.962,2.604
S9,local,700,700.033,1.2697,5.3420,313.115,92.595,2.407
S9,local,750,750.033,1.3403,6.8410,333.689,99.325,2.436
S9,local,800,800.033,1.1814,4.3700,338.391,103.276,2.360
S9,local,850,850.033,1.2088,5.1520,356.700,106.664,2.386
S9,local,900,900.033,1.2267,5.5440,380.206,117.259,2.346
S9,local,950,950.033,1.3289,7.6420,406.599,121.608,2.470
S9,local,1000,1000.033,1.2748,6.5160,414.884,127.360,2.326
