t_unix,t_rel_s,lambda_rps,eventloop_lag_p99_ms,mu_eff_rps,rho,latency_mean_ms,mode,decision,actuation_latency_ms,trigger_reason
1789322796.911,0.000,810.431,2.9880,3743.786,0.2165,0.3253,app,hold,,below_trigger(rho=0.216)
1789322798.921,2.010,777.010,2.9880,3697.470,0.2101,0.3253,app,hold,,below_trigger(rho=0.210)
1789322800.929,4.019,743.721,2.9880,3618.916,0.2055,0.3253,app,hold,,below_trigger(rho=0.206)
1789322802.937,6.026,710.466,2.9880,3517.841,0.2020,0.3253,app,hold,,below_trigger(rho=0.202)
1789322804.947,8.036,677.062,2.9880,3517.841,0.1925,0.3253,app,hold,,below_trigger(rho=0.192)
1789322806.955,10.045,643.773,2.9880,3517.841,0.1830,0.3253,app,hold,,below_trigger(rho=0.183)
1789322808.957,12.047,613.526,2.9880,3517.841,0.1744,0.3370,app,hold,,below_trigger(rho=0.174)
1789322810.961,14.050,580.111,2.9880,3517.841,0.1649,0.3370,app,hold,,below_trigger(rho=0.165)
1789322812.962,16.052,556.111,2.8058,6122.468,0.0908,0.3471,app,hold,,below_trigger(rho=0.091)
1789322814.972,18.062,523.692,2.8058,7732.347,0.0677,0.3490,app,hold,,below_trigger(rho=0.068)
1789322816.980,20.070,491.435,2.8058,8646.962,0.0568,0.3512,app,hold,,below_trigger(rho=0.057)
1789322818.981,22.070,459.209,2.8058,9075.104,0.0506,0.3537,app,hold,,below_trigger(rho=0.051)
1789322820.981,24.071,427.016,2.8058,9162.926,0.0466,0.3565,app,hold,,below_trigger(rho=0.047)
1789322822.982,26.071,394.822,2.8058,9012.526,0.0438,0.3598,app,hold,,below_trigger(rho=0.044)
1789322824.984,28.073,16.172,2.8058,9012.526,0.0018,0.9347,app,hold,,below_trigger(rho=0.002)
1789322826.984,30.074,21.319,3.1539,6412.660,0.0033,0.9090,app,hold,,below_trigger(rho=0.003)
1789322828.991,32.081,22.727,3.1539,4599.618,0.0049,0.9088,app,hold,,below_trigger(rho=0.005)
1789322830.997,34.086,24.134,3.1539,3337.343,0.0072,0.9087,app,hold,,below_trigger(rho=0.007)
1789322832.998,36.087,25.536,3.1539,2460.583,0.0104,0.9086,app,hold,,below_trigger(rho=0.010)
1789322834.999,38.088,26.940,3.1539,1853.692,0.0145,0.9085,app,hold,,below_trigger(rho=0.015)
1789322837.001,40.090,28.341,3.1539,1435.698,0.0197,0.9084,app,hold,,below_trigger(rho=0.020)
1789322839.008,42.098,29.750,3.1539,1149.969,0.0259,0.9083,app,hold,,below_trigger(rho=0.026)
1789322841.010,44.099,31.152,3.1539,956.790,0.0326,0.9082,app,hold,,below_trigger(rho=0.033)
1789322843.017,46.106,43.397,3.2911,809.637,0.0536,0.8184,app,hold,,below_trigger(rho=0.054)
1789322845.023,48.112,45.272,3.2911,712.671,0.0635,0.8184,app,hold,,below_trigger(rho=0.064)
