algorithm,stage,payload_kb,iterations,mean_us,p50_us,p99_us
HS256,full_verify,0.5,180000,25.907751,25.041000,36.625000
HS256,decode_only,0.5,180000,0.893421,0.875000,1.166000
HS256,primitive_preparsed,0.5,180000,1.380871,1.333000,1.667000
HS256,primitive_raw,0.5,180000,1.319301,1.250000,1.625000
HS256,full_verify,2,180000,28.488698,27.542000,37.875000
HS256,decode_only,2,180000,1.370270,1.292000,1.708000
HS256,primitive_preparsed,2,180000,1.984948,1.916000,2.458000
HS256,primitive_raw,2,180000,1.810652,1.750000,2.167000
HS256,full_verify,4,180000,32.263384,30.791000,70.792000
HS256,decode_only,4,180000,2.030105,1.917000,2.542000
HS256,primitive_preparsed,4,180000,2.685542,2.625000,3.292000
HS256,primitive_raw,4,180000,2.503524,2.417000,3.083000
RS256,full_verify,0.5,180000,28.676902,27.458000,35.875000
RS256,decode_only,0.5,180000,0.873283,0.875000,1.125000
RS256,primitive_preparsed,0.5,180000,11.760353,10.791000,18.292000
RS256,primitive_raw,0.5,180000,11.101285,10.792000,13.667000
RS256,full_verify,2,180000,31.416078,30.000000,39.625000
RS256,decode_only,2,180000,1.332805,1.292000,1.666000
RS256,primitive_preparsed,2,180000,11.518637,11.250000,14.208000
RS256,primitive_raw,2,180000,11.707846,11.292000,16.833000
RS256,full_verify,4,180000,34.198784,32.875000,41.666000
RS256,decode_only,4,180000,2.084084,1.917000,4.292000
RS256,primitive_preparsed,4,180000,12.106039,11.917000,14.916000
RS256,primitive_raw,4,180000,12.523022,11.958000,15.250000
