condition,invocation,n,mean_us,median_us,p90_us,p99_us,min_us,max_us,stddev_us,timer_overhead_us,node_version,platform
jwt_hs_string,1,40000,31.6167,30.5830,32.3750,38.5420,29.2910,430.7500,9.7881,0.0420,v26.6.0,darwin/arm64
jwt_hs_preparsed,1,40000,6.2247,6.0000,6.1670,7.5420,5.6660,126.0410,3.9016,0.0420,v26.6.0,darwin/arm64
jwt_hs_string_safe,1,40000,8.0527,7.3750,7.7080,12.7080,6.9590,453.5410,8.7067,0.0420,v26.6.0,darwin/arm64
jwt_rs_pem_string,1,40000,54.0881,52.7080,54.9580,63.4160,50.5420,1402.2920,30.7545,0.0420,v26.6.0,darwin/arm64
jwt_rs_preparsed,1,40000,25.8755,25.4170,26.4580,30.9580,24.5840,449.9160,5.9284,0.0420,v26.6.0,darwin/arm64
probe_throws,1,40000,19.0797,18.6250,20.0000,22.0830,17.7080,226.9590,4.0880,0.0420,v26.6.0,darwin/arm64
probe_succeeds,1,40000,14.5815,13.8340,15.0830,17.5410,13.1660,3015.9170,34.0755,0.0420,v26.6.0,darwin/arm64
create_secret_key,1,40000,0.7251,0.5420,0.5840,0.7090,0.4580,1231.2500,12.7941,0.0420,v26.6.0,darwin/arm64
hmac_string,1,40000,2.3032,2.2090,2.2920,2.6250,2.0410,359.0000,4.1150,0.0420,v26.6.0,darwin/arm64
hmac_keyobject,1,40000,2.1701,2.0830,2.2080,2.4590,1.9170,430.1250,4.1916,0.0420,v26.6.0,darwin/arm64
decode_only,1,40000,1.3191,1.2920,1.3340,1.4170,1.1660,82.5420,1.0272,0.0420,v26.6.0,darwin/arm64
timer_overhead,1,40000,0.0486,0.0420,0.0420,0.0840,0.0000,189.4580,0.9590,0.0420,v26.6.0,darwin/arm64
jwt_hs_string,2,40000,31.5433,30.4160,32.4580,38.7500,28.7910,535.4170,11.8042,0.0420,v26.6.0,darwin/arm64
jwt_hs_preparsed,2,40000,6.3520,6.1660,6.2920,7.4580,5.8330,132.2500,3.7242,0.0420,v26.6.0,darwin/arm64
jwt_hs_string_safe,2,40000,7.5570,7.1670,7.4170,9.2500,6.7920,247.5000,7.1194,0.0420,v26.6.0,darwin/arm64
jwt_rs_pem_string,2,40000,54.0320,52.4580,54.7500,70.5000,50.1670,1429.6250,31.6090,0.0420,v26.6.0,darwin/arm64
jwt_rs_preparsed,2,40000,26.3044,25.7910,27.0830,31.8750,25.0410,269.4580,5.7763,0.0420,v26.6.0,darwin/arm64
probe_throws,2,40000,18.8314,18.1250,19.8330,24.2090,17.3330,268.3750,4.8972,0.0420,v26.6.0,darwin/arm64
probe_succeeds,2,40000,14.5358,13.8330,15.0830,17.3750,13.1660,3009.0830,32.1694,0.0420,v26.6.0,darwin/arm64
create_secret_key,2,40000,0.7247,0.5830,0.6250,0.7500,0.4580,1248.8750,11.8740,0.0420,v26.6.0,darwin/arm64
hmac_string,2,40000,2.3058,2.2080,2.2920,2.6660,2.0410,383.2090,4.1054,0.0420,v26.6.0,darwin/arm64
hmac_keyobject,2,40000,2.1994,2.1250,2.2080,2.5000,1.9580,335.5000,3.5844,0.0420,v26.6.0,darwin/arm64
decode_only,2,40000,1.2812,1.2500,1.2920,1.3750,1.1250,69.7080,0.8717,0.0420,v26.6.0,darwin/arm64
timer_overhead,2,40000,0.0449,0.0420,0.0420,0.0840,0.0000,15.8340,0.1781,0.0420,v26.6.0,darwin/arm64
jwt_hs_string,3,40000,31.4733,30.4160,32.2920,37.0000,29.2920,277.7080,9.1951,0.0420,v26.6.0,darwin/arm64
jwt_hs_preparsed,3,40000,6.4967,6.2910,6.4170,7.7500,6.0000,163.9580,3.8020,0.0420,v26.6.0,darwin/arm64
jwt_hs_string_safe,3,40000,8.0910,7.4590,7.7500,12.7500,7.1250,446.9170,8.4703,0.0420,v26.6.0,darwin/arm64
jwt_rs_pem_string,3,40000,54.0782,52.8330,54.8340,57.9160,50.7500,2781.2500,31.0805,0.0420,v26.6.0,darwin/arm64
