environment,condition,invocation,n,mean_us,median_us,p90_us,p99_us,min_us,max_us,stddev_us,timer_overhead_us,node_version,openssl_version,platform
node:18.20.8-alpine,jwt_hs_string,1,20000,408.0029,395.042,427.917,717.833,374.292,4564.625,73.474,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_preparsed,1,20000,8.503,7.667,8.333,21.916,7.0,300.208,8.8786,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string_safe,1,20000,10.8026,9.417,10.667,24.166,8.583,1007.333,15.507,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_throws,1,20000,377.7072,371.5,389.209,489.958,355.292,3297.792,56.2386,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_succeeds,1,20000,121.6772,115.792,133.583,171.708,108.667,7218.542,74.0111,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,create_secret_key,1,20000,1.9812,1.5,2.125,3.792,1.291,1491.25,19.4526,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_string,1,20000,2.7618,2.375,2.708,6.333,2.125,1020.333,12.0474,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_keyobject,1,20000,4.7442,3.625,4.792,24.417,2.792,1791.083,23.4921,0.166,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,decode_only,1,20000,2.4028,2.208,2.334,4.292,2.041,342.958,3.4168,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,timer_overhead,1,20000,0.1964,0.167,0.209,0.25,0.083,470.5,3.3342,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string,2,20000,409.531,395.166,437.125,685.209,375.75,13890.708,113.9591,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_preparsed,2,20000,8.0069,7.375,7.75,19.542,6.916,302.0,7.5684,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string_safe,2,20000,11.7396,9.583,12.167,40.417,8.625,940.417,17.7646,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_throws,2,20000,380.4087,373.625,393.166,494.042,358.5,3876.709,56.504,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_succeeds,2,20000,120.8666,115.875,132.166,163.0,108.25,3841.334,48.6839,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,create_secret_key,2,20000,3.103,1.958,3.125,17.709,1.666,2596.75,27.806,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_string,2,20000,2.7899,2.375,2.709,9.25,2.125,829.292,10.0103,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_keyobject,2,20000,2.6046,2.292,2.5,5.375,2.041,784.209,10.4079,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,decode_only,2,20000,1.7284,1.625,1.75,2.833,1.5,92.417,1.5442,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,timer_overhead,2,20000,0.1992,0.167,0.208,0.209,0.083,522.167,3.7106,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string,3,20000,399.2866,391.833,409.958,557.583,374.666,4075.958,61.3851,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_preparsed,3,20000,8.4143,7.625,8.375,21.542,7.041,319.959,8.2782,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string_safe,3,20000,10.1791,9.25,9.833,23.208,8.583,452.417,12.9691,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_throws,3,20000,376.9862,371.167,387.125,488.375,358.0,2172.834,38.6903,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_succeeds,3,20000,122.8088,116.583,135.083,182.5,108.959,3800.417,56.9232,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,create_secret_key,3,20000,1.9181,1.416,2.125,4.417,1.166,1726.333,17.7418,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_string,3,20000,3.0063,2.417,3.209,9.417,2.166,1097.208,14.0451,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_keyobject,3,20000,2.6011,2.25,2.667,7.458,1.959,844.375,10.0035,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,decode_only,3,20000,1.6856,1.584,1.708,3.042,1.458,93.042,1.5232,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,timer_overhead,3,20000,0.1538,0.166,0.167,0.209,0.083,19.292,0.2541,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string,4,20000,398.8752,394.0,411.917,490.708,374.0,4210.375,45.3848,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_preparsed,4,20000,8.4229,7.417,8.334,22.959,6.875,366.083,9.3058,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string_safe,4,20000,10.6638,9.334,10.5,25.292,8.625,628.708,15.3277,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_throws,4,20000,380.0164,373.75,392.917,493.916,358.458,2933.5,45.049,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_succeeds,4,20000,125.9109,118.25,138.875,221.666,110.0,3838.5,63.0242,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,create_secret_key,4,20000,1.9306,1.417,2.084,4.333,1.209,1451.291,18.2913,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_string,4,20000,3.1138,2.417,3.416,11.333,2.166,1659.5,16.0947,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_keyobject,4,20000,3.2054,2.666,3.458,10.541,2.375,1053.583,12.0085,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,decode_only,4,20000,1.7208,1.625,1.708,3.208,1.458,97.0,1.7871,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,timer_overhead,4,20000,0.1675,0.167,0.208,0.209,0.083,31.083,0.2653,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string,5,20000,403.1348,394.667,412.833,614.292,378.583,2288.167,54.7878,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_preparsed,5,20000,8.3043,7.583,8.25,20.166,7.125,382.0,8.0135,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string_safe,5,20000,10.2316,9.291,10.084,23.583,8.625,338.959,12.4224,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_throws,5,20000,409.0001,400.084,422.042,584.625,384.083,3775.458,58.2415,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,probe_succeeds,5,20000,118.4849,114.209,128.625,147.292,107.709,3893.042,55.6851,0.084,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,create_secret_key,5,20000,1.8835,1.417,2.083,4.333,1.208,1207.875,17.5084,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_string,5,20000,3.0602,2.583,3.042,9.875,2.25,1104.416,13.4478,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,hmac_keyobject,5,20000,3.7888,3.083,3.875,11.75,2.708,1305.291,18.0065,0.167,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,decode_only,5,20000,1.8302,1.625,1.792,3.5,1.5,435.958,3.8836,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,timer_overhead,5,20000,0.2012,0.167,0.209,0.25,0.125,60.875,0.6129,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string,6,20000,402.4941,395.166,416.667,542.541,378.208,3117.459,55.9346,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_preparsed,6,20000,8.0417,7.542,8.084,16.5,6.875,216.584,6.6071,0.125,v18.20.8,3.0.16,linux/arm64
node:18.20.8-alpine,jwt_hs_string_safe,6,20000,10.5551,9.458,10.334,24.333,8.666,449.375,12.9463,0.125,v18.20.8,3.0.16,linux/arm64
