scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,50,50.033,3.8045,10.6520,57.661,27.488,3.354
S5,local,100,100.033,3.0079,7.5930,127.692,40.221,3.180
S5,local,150,150.033,2.7483,8.8630,160.785,54.163,3.184
S5,local,200,200.033,2.5670,8.9740,186.507,65.861,3.317
S5,local,250,250.033,2.4364,8.0530,215.467,76.416,3.632
S5,local,300,300.033,2.4673,9.3460,251.144,90.307,3.707
S5,local,350,350.033,2.5409,12.7720,290.644,103.314,3.387
S5,local,400,400.033,2.5573,14.4840,324.355,116.475,3.717
S5,local,450,450.033,2.5300,13.1350,360.967,129.737,3.592
S5,local,500,500.000,2.4637,12.4456,388.871,139.353,3.277
S5,local,550,550.033,2.5377,13.0960,425.135,153.695,3.192
S5,local,600,600.033,2.6271,14.9460,464.023,168.726,3.244
S5,local,650,650.033,3.0645,22.3270,528.742,186.608,4.309
S5,local,700,700.033,7.3096,162.2520,552.130,207.260,6.596
S5,local,750,750.033,3.0244,23.1800,571.288,211.119,3.499
S5,local,800,798.067,14.8223,242.7501,679.649,259.150,20.130
S5,local,850,847.433,23.6707,280.6942,738.985,285.255,18.572
S5,local,900,894.867,49.0834,368.3590,830.283,342.029,53.081
S5,local,950,904.867,358.5676,2151.1761,924.044,426.340,287.639
S5,local,1000,621.633,3226.3742,17247.2956,913.592,572.494,272.411
