scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.033,3.8045,10.6520
S5,local,100,100.033,3.0079,7.5930
S5,local,150,150.033,2.7483,8.8630
S5,local,200,200.033,2.5670,8.9740
S5,local,250,250.033,2.4364,8.0530
S5,local,300,300.033,2.4673,9.3460
S5,local,350,350.033,2.5409,12.7720
S5,local,400,400.033,2.5573,14.4840
S5,local,450,450.033,2.5300,13.1350
S5,local,500,500.000,2.4637,12.4456
S5,local,550,550.033,2.5377,13.0960
S5,local,600,600.033,2.6271,14.9460
S5,local,650,650.033,3.0645,22.3270
S5,local,700,700.033,7.3096,162.2520
S5,local,750,750.033,3.0244,23.1800
S5,local,800,798.067,14.8223,242.7501
S5,local,850,847.433,23.6707,280.6942
S5,local,900,894.867,49.0834,368.3590
S5,local,950,904.867,358.5676,2151.1761
S5,local,1000,621.633,3226.3742,17247.2956
