# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789317275.7461061,service-a-deployment-69b95c556-2hknd,service-a,12.032,3.590143
1789317276.1949718,service-a-deployment-7f8b79cf8-dsztp,service-a,86.611,3.590143
1789317276.486557,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,27.476,
1789317277.869486,service-a-deployment-69b95c556-2hknd,service-a,12.787,3.530751
1789317278.328506,service-a-deployment-7f8b79cf8-dsztp,service-a,86.273,3.530751
1789317278.566294,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,26.574,
1789317279.9518561,service-a-deployment-69b95c556-2hknd,service-a,12.548,3.350527
1789317280.354699,service-a-deployment-7f8b79cf8-dsztp,service-a,78.630,3.350527
1789317280.591269,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,24.741,
1789317281.9864802,service-a-deployment-69b95c556-2hknd,service-a,12.808,3.483647
1789317282.387041,service-a-deployment-7f8b79cf8-dsztp,service-a,82.357,3.483647
1789317282.623965,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,27.034,
1789317284.011643,service-a-deployment-69b95c556-2hknd,service-a,12.321,3.274751
1789317284.440276,service-a-deployment-7f8b79cf8-dsztp,service-a,100.142,3.274751
1789317284.7079868,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,28.151,
1789317286.0884008,service-a-deployment-69b95c556-2hknd,service-a,11.762,3.336191
1789317286.502851,service-a-deployment-7f8b79cf8-dsztp,service-a,95.310,3.336191
1789317286.746371,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,28.089,
1789317288.1566231,service-a-deployment-69b95c556-2hknd,service-a,12.410,3.168255
1789317288.584949,service-a-deployment-7f8b79cf8-dsztp,service-a,86.664,3.168255
1789317288.836921,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,30.118,
1789317290.280441,service-a-deployment-69b95c556-2hknd,service-a,12.880,3.346431
1789317290.6733801,service-a-deployment-7f8b79cf8-dsztp,service-a,76.622,3.346431
1789317290.897415,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,24.890,
1789317292.2995489,service-a-deployment-69b95c556-2hknd,service-a,11.852,3.115007
1789317292.756001,service-a-deployment-7f8b79cf8-dsztp,service-a,89.045,3.115007
1789317293.009293,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,29.036,
1789317294.8265018,service-a-deployment-7f8b79cf8-dsztp,service-a,95.925,3.246079
1789317295.1589818,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,33.064,
1789317296.562015,service-a-deployment-7f8b79cf8-dsztp,service-a,85.967,3.559423
1789317296.8029819,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,25.563,
1789317298.1845078,service-a-deployment-7f8b79cf8-dsztp,service-a,86.837,3.354623
1789317298.4195368,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,26.924,
1789317299.820887,service-a-deployment-7f8b79cf8-dsztp,service-a,78.974,3.237887
1789317300.072644,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,26.147,
1789317301.459834,service-a-deployment-7f8b79cf8-dsztp,service-a,85.441,3.348479
1789317301.715771,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,27.019,
1789317303.11142,service-a-deployment-7f8b79cf8-dsztp,service-a,92.990,3.330047
1789317303.3566358,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,27.654,
1789317304.7494059,service-a-deployment-7f8b79cf8-dsztp,service-a,140.245,3.033087
1789317304.988875,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,40.349,
1789317306.38583,service-a-deployment-7f8b79cf8-dsztp,service-a,123.774,3.194879
1789317306.627397,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,38.414,
1789317308.002635,service-a-deployment-7f8b79cf8-dsztp,service-a,130.055,3.149823
1789317308.247606,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,42.170,
1789317309.669375,service-a-deployment-7f8b79cf8-dsztp,service-a,125.145,2.959359
1789317309.929507,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,41.065,
1789317311.312366,service-a-deployment-7f8b79cf8-dsztp,service-a,123.601,3.112959
1789317311.545291,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,35.519,
1789317312.935602,service-a-deployment-7f8b79cf8-dsztp,service-a,143.663,3.190783
1789317313.169714,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,40.011,
1789317314.5539699,service-a-deployment-7f8b79cf8-dsztp,service-a,120.247,3.094527
1789317314.7935228,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,37.006,
1789317316.193451,service-a-deployment-7f8b79cf8-dsztp,service-a,139.975,2.938879
1789317316.443403,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,38.544,
1789317317.8231108,service-a-deployment-7f8b79cf8-dsztp,service-a,124.522,3.145727
1789317318.080767,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,40.038,
1789317319.457506,service-a-deployment-7f8b79cf8-dsztp,service-a,124.814,4.089855
1789317319.700351,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,44.316,
1789317321.095705,service-a-deployment-7f8b79cf8-dsztp,service-a,135.061,3.266559
1789317321.321453,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,45.621,
1789317322.726479,service-a-deployment-7f8b79cf8-dsztp,service-a,132.598,2.963455
1789317322.958304,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,39.067,
1789317324.3433301,service-a-deployment-7f8b79cf8-dsztp,service-a,108.403,3.022847
1789317324.5854652,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,37.379,
1789317325.974729,service-a-deployment-7f8b79cf8-dsztp,service-a,127.589,3.047423
1789317326.201469,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,40.603,
1789317327.587004,service-a-deployment-7f8b79cf8-dsztp,service-a,120.243,3.145727
1789317327.821897,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,40.611,
1789317329.21584,service-a-deployment-7f8b79cf8-dsztp,service-a,135.836,2.912255
1789317329.456613,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,40.893,
1789317330.9471319,service-a-deployment-7f8b79cf8-dsztp,service-a,148.469,3.227647
1789317331.2284758,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,51.663,
1789317332.6558862,service-a-deployment-7f8b79cf8-dsztp,service-a,128.925,3.594239
1789317332.900701,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,43.272,
1789317334.281248,service-a-deployment-7f8b79cf8-dsztp,service-a,156.350,3.082239
1789317334.515218,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,54.260,
1789317335.887687,service-a-deployment-7f8b79cf8-dsztp,service-a,156.078,3.061759
1789317336.127133,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,50.081,
1789317337.655838,service-a-deployment-7f8b79cf8-dsztp,service-a,175.167,3.016703
1789317337.91621,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,63.667,
1789317339.308726,service-a-deployment-7f8b79cf8-dsztp,service-a,187.192,3.624959
1789317339.536405,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,52.072,
1789317340.9532642,service-a-deployment-7f8b79cf8-dsztp,service-a,158.286,3.170303
1789317341.1892061,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,67.233,
1789317342.565838,service-a-deployment-7f8b79cf8-dsztp,service-a,158.824,3.543039
1789317342.811011,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,50.416,
1789317344.2124171,service-a-deployment-7f8b79cf8-dsztp,service-a,151.314,3.069951
1789317344.4426072,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,51.605,
1789317345.828866,service-a-deployment-7f8b79cf8-dsztp,service-a,146.117,3.018751
1789317346.083717,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,51.295,
1789317347.515328,service-a-deployment-7f8b79cf8-dsztp,service-a,166.451,3.524607
1789317347.757421,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,55.682,
1789317349.200005,service-a-deployment-7f8b79cf8-dsztp,service-a,175.892,2.936831
1789317349.439818,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,57.869,
1789317350.8224351,service-a-deployment-7f8b79cf8-dsztp,service-a,165.120,3.622911
1789317351.06398,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,56.874,
1789317352.459232,service-a-deployment-7f8b79cf8-dsztp,service-a,151.501,2.988031
1789317352.7400022,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,59.607,
1789317354.1211488,service-a-deployment-7f8b79cf8-dsztp,service-a,172.583,3.225599
1789317354.356085,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,52.275,
1789317355.747669,service-a-deployment-7f8b79cf8-dsztp,service-a,154.819,3.041279
1789317355.983166,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,47.135,
1789317357.394785,service-a-deployment-7f8b79cf8-dsztp,service-a,153.451,3.172351
1789317357.624683,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,53.290,
1789317359.005245,service-a-deployment-7f8b79cf8-dsztp,service-a,159.867,3.096575
1789317359.243389,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,53.592,
1789317360.614424,service-a-deployment-7f8b79cf8-dsztp,service-a,152.112,3.088383
1789317360.842159,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,49.447,
1789317362.225311,service-a-deployment-7f8b79cf8-dsztp,service-a,153.004,3.026943
1789317362.468011,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,48.537,
1789317363.8653162,service-a-deployment-7f8b79cf8-dsztp,service-a,179.605,2.908159
1789317364.1179268,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,62.800,
1789317365.496277,service-a-deployment-7f8b79cf8-dsztp,service-a,175.562,3.153919
1789317365.746033,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,60.335,
1789317367.1831539,service-a-deployment-7f8b79cf8-dsztp,service-a,195.826,3.375103
1789317367.42108,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,62.808,
1789317368.8077838,service-a-deployment-7f8b79cf8-dsztp,service-a,183.956,3.078143
1789317369.064207,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,71.286,
1789317370.453295,service-a-deployment-7f8b79cf8-dsztp,service-a,209.198,3.495935
1789317370.691819,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,65.898,
1789317372.105962,service-a-deployment-7f8b79cf8-dsztp,service-a,180.253,3.344383
1789317372.338798,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,68.223,
1789317373.723804,service-a-deployment-7f8b79cf8-dsztp,service-a,178.475,3.129343
1789317373.9586,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,62.592,
1789317375.337912,service-a-deployment-7f8b79cf8-dsztp,service-a,174.961,3.080191
1789317375.5715048,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,61.418,
1789317376.9579,service-a-deployment-7f8b79cf8-dsztp,service-a,188.363,3.278847
1789317377.220717,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,66.588,
1789317378.625532,service-a-deployment-7f8b79cf8-dsztp,service-a,198.603,3.336191
1789317378.934166,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,81.266,
1789317380.394461,service-a-deployment-7f8b79cf8-dsztp,service-a,206.236,3.317759
1789317380.622011,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,71.002,
1789317381.997081,service-a-deployment-7f8b79cf8-dsztp,service-a,170.998,3.624959
1789317382.226586,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,61.434,
1789317383.649855,service-a-deployment-7f8b79cf8-dsztp,service-a,190.853,3.362815
1789317383.876833,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,67.393,
1789317385.287936,service-a-deployment-7f8b79cf8-dsztp,service-a,179.337,3.147775
1789317385.517884,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,61.409,
1789317386.915838,service-a-deployment-7f8b79cf8-dsztp,service-a,169.745,3.457023
1789317387.2060359,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,63.309,
1789317388.5921438,service-a-deployment-7f8b79cf8-dsztp,service-a,187.861,3.237887
1789317388.919601,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,73.826,
1789317390.3103218,service-a-deployment-7f8b79cf8-dsztp,service-a,213.317,3.981311
1789317390.5581372,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,64.565,
1789317391.959614,service-a-deployment-7f8b79cf8-dsztp,service-a,173.976,3.399679
1789317392.2021482,service-a-deployment-7f8b79cf8-dsztp,istio-proxy,59.353,
