scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,50,50.000,3.8261,11.6325
S5,local,100,100.000,3.1178,10.4922
S5,local,150,150.033,2.7616,8.8520
S5,local,200,200.000,2.6506,10.2529
S5,local,250,250.000,2.4932,9.9906
S5,local,300,300.033,2.5867,12.4030
S5,local,350,350.033,6.7742,117.2560
S5,local,400,400.000,3.2423,26.7702
S5,local,450,450.000,2.6323,16.4491
S5,local,500,500.033,2.6208,16.0970
S5,local,550,550.000,2.7104,15.9145
S5,local,600,600.033,2.8705,19.4660
S5,local,650,650.033,2.8071,18.3050
S5,local,700,700.033,4.0586,45.1050
S5,local,750,749.433,10.0686,170.3723
S5,local,800,800.033,8.4160,84.1820
S5,local,850,850.000,18.2958,152.2247
S5,local,900,883.767,105.4463,720.5729
S5,local,950,934.633,142.0868,790.0027
S5,local,1000,678.800,2302.9204,13519.2479
