scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,50,50.000,3.8261,11.6325,54.038,27.884,3.545
S5,local,100,100.000,3.1178,10.4922,132.199,40.853,3.260
S5,local,150,150.033,2.7616,8.8520,160.521,53.457,3.501
S5,local,200,200.000,2.6506,10.2529,188.783,65.674,3.190
S5,local,250,250.000,2.4932,9.9906,219.037,77.008,3.108
S5,local,300,300.033,2.5867,12.4030,258.227,90.305,3.037
S5,local,350,350.033,6.7742,117.2560,360.954,139.787,6.301
S5,local,400,400.000,3.2423,26.7702,358.907,130.472,4.214
S5,local,450,450.000,2.6323,16.4491,373.457,130.056,3.863
S5,local,500,500.033,2.6208,16.0970,399.157,139.431,3.260
S5,local,550,550.000,2.7104,15.9145,448.005,157.792,3.594
S5,local,600,600.033,2.8705,19.4660,493.186,177.255,3.899
S5,local,650,650.033,2.8071,18.3050,523.639,185.683,3.493
S5,local,700,700.033,4.0586,45.1050,562.807,205.362,4.920
S5,local,750,749.433,10.0686,170.3723,635.351,242.204,8.084
S5,local,800,800.033,8.4160,84.1820,678.833,262.673,9.827
S5,local,850,850.000,18.2958,152.2247,775.576,305.927,26.524
S5,local,900,883.767,105.4463,720.5729,820.666,340.756,55.944
S5,local,950,934.633,142.0868,790.0027,916.647,385.005,167.694
S5,local,1000,678.800,2302.9204,13519.2479,911.926,543.091,451.609
