# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789317945.678846,service-a-deployment-7f8b79cf8-dsztp,service-a,13.500,3.678207
1789317946.10973,service-a-deployment-b9f6859d9-ddctb,service-a,91.479,3.678207
1789317946.429104,service-a-deployment-b9f6859d9-ddctb,istio-proxy,29.530,
1789317947.826695,service-a-deployment-7f8b79cf8-dsztp,service-a,12.230,3.596287
1789317948.248225,service-a-deployment-b9f6859d9-ddctb,service-a,117.144,3.596287
1789317948.4822369,service-a-deployment-b9f6859d9-ddctb,istio-proxy,26.604,
1789317949.883256,service-a-deployment-7f8b79cf8-dsztp,service-a,12.381,4.702207
1789317950.296076,service-a-deployment-b9f6859d9-ddctb,service-a,81.810,4.702207
1789317950.536758,service-a-deployment-b9f6859d9-ddctb,istio-proxy,28.393,
1789317951.940358,service-a-deployment-7f8b79cf8-dsztp,service-a,12.502,3.426303
1789317952.3589609,service-a-deployment-b9f6859d9-ddctb,service-a,91.321,3.426303
1789317952.6729321,service-a-deployment-b9f6859d9-ddctb,istio-proxy,27.765,
1789317954.129768,service-a-deployment-7f8b79cf8-dsztp,service-a,12.300,3.667967
1789317954.551381,service-a-deployment-b9f6859d9-ddctb,service-a,93.944,3.667967
1789317954.793781,service-a-deployment-b9f6859d9-ddctb,istio-proxy,28.029,
1789317956.1872818,service-a-deployment-7f8b79cf8-dsztp,service-a,11.967,3.401727
1789317956.587931,service-a-deployment-b9f6859d9-ddctb,service-a,82.039,3.401727
1789317956.827938,service-a-deployment-b9f6859d9-ddctb,istio-proxy,27.301,
1789317958.213887,service-a-deployment-7f8b79cf8-dsztp,service-a,12.273,3.500031
1789317958.65645,service-a-deployment-b9f6859d9-ddctb,service-a,105.349,3.500031
1789317958.891451,service-a-deployment-b9f6859d9-ddctb,istio-proxy,26.596,
1789317960.2776802,service-a-deployment-7f8b79cf8-dsztp,service-a,14.155,3.207167
1789317960.678657,service-a-deployment-b9f6859d9-ddctb,service-a,77.427,3.207167
1789317960.916922,service-a-deployment-b9f6859d9-ddctb,istio-proxy,26.448,
1789317962.294388,service-a-deployment-7f8b79cf8-dsztp,service-a,11.268,3.129343
1789317962.734423,service-a-deployment-b9f6859d9-ddctb,service-a,84.233,3.129343
1789317962.964726,service-a-deployment-b9f6859d9-ddctb,istio-proxy,24.714,
1789317964.341852,service-a-deployment-7f8b79cf8-dsztp,service-a,11.524,3.164159
1789317964.7744262,service-a-deployment-b9f6859d9-ddctb,service-a,85.992,3.164159
1789317965.009571,service-a-deployment-b9f6859d9-ddctb,istio-proxy,27.994,
1789317966.3787441,service-a-deployment-7f8b79cf8-dsztp,service-a,11.962,3.188735
1789317966.801864,service-a-deployment-b9f6859d9-ddctb,service-a,82.431,3.188735
1789317967.069311,service-a-deployment-b9f6859d9-ddctb,istio-proxy,25.851,
1789317968.4838269,service-a-deployment-7f8b79cf8-dsztp,service-a,11.780,3.454975
1789317968.927767,service-a-deployment-b9f6859d9-ddctb,service-a,84.426,3.454975
1789317969.169995,service-a-deployment-b9f6859d9-ddctb,istio-proxy,29.318,
1789317970.622603,service-a-deployment-b9f6859d9-ddctb,service-a,96.439,3.590143
1789317970.932905,service-a-deployment-b9f6859d9-ddctb,istio-proxy,36.394,
1789317972.334483,service-a-deployment-b9f6859d9-ddctb,service-a,83.124,4.349951
1789317972.590118,service-a-deployment-b9f6859d9-ddctb,istio-proxy,25.443,
1789317973.9780748,service-a-deployment-b9f6859d9-ddctb,service-a,101.544,3.178495
1789317974.237707,service-a-deployment-b9f6859d9-ddctb,istio-proxy,36.171,
1789317975.601666,service-a-deployment-b9f6859d9-ddctb,service-a,156.267,3.688447
1789317975.832479,service-a-deployment-b9f6859d9-ddctb,istio-proxy,38.088,
1789317977.3048298,service-a-deployment-b9f6859d9-ddctb,service-a,123.025,3.270655
1789317977.598033,service-a-deployment-b9f6859d9-ddctb,istio-proxy,44.871,
1789317978.997282,service-a-deployment-b9f6859d9-ddctb,service-a,143.465,3.366911
1789317979.2303958,service-a-deployment-b9f6859d9-ddctb,istio-proxy,39.208,
1789317980.6035829,service-a-deployment-b9f6859d9-ddctb,service-a,144.495,3.104767
1789317980.851199,service-a-deployment-b9f6859d9-ddctb,istio-proxy,42.468,
1789317982.2413352,service-a-deployment-b9f6859d9-ddctb,service-a,133.370,3.139583
1789317982.480057,service-a-deployment-b9f6859d9-ddctb,istio-proxy,41.250,
1789317983.868066,service-a-deployment-b9f6859d9-ddctb,service-a,129.306,3.168255
1789317984.11143,service-a-deployment-b9f6859d9-ddctb,istio-proxy,39.372,
1789317985.653013,service-a-deployment-b9f6859d9-ddctb,service-a,143.463,3.213311
1789317985.891785,service-a-deployment-b9f6859d9-ddctb,istio-proxy,41.382,
1789317987.339902,service-a-deployment-b9f6859d9-ddctb,service-a,138.023,3.223551
1789317987.605592,service-a-deployment-b9f6859d9-ddctb,istio-proxy,40.153,
1789317988.995849,service-a-deployment-b9f6859d9-ddctb,service-a,123.067,3.336191
1789317989.226539,service-a-deployment-b9f6859d9-ddctb,istio-proxy,39.838,
1789317990.605273,service-a-deployment-b9f6859d9-ddctb,service-a,122.623,3.047423
1789317990.849282,service-a-deployment-b9f6859d9-ddctb,istio-proxy,39.602,
1789317992.242589,service-a-deployment-b9f6859d9-ddctb,service-a,127.434,3.053567
1789317992.4793742,service-a-deployment-b9f6859d9-ddctb,istio-proxy,38.241,
1789317993.864497,service-a-deployment-b9f6859d9-ddctb,service-a,130.203,3.057663
1789317994.1051269,service-a-deployment-b9f6859d9-ddctb,istio-proxy,39.142,
1789317995.57618,service-a-deployment-b9f6859d9-ddctb,service-a,137.768,3.112959
1789317995.806611,service-a-deployment-b9f6859d9-ddctb,istio-proxy,48.037,
1789317997.1902988,service-a-deployment-b9f6859d9-ddctb,service-a,120.532,3.559423
1789317997.555988,service-a-deployment-b9f6859d9-ddctb,istio-proxy,46.099,
1789317998.968808,service-a-deployment-b9f6859d9-ddctb,service-a,143.634,3.964927
1789317999.193036,service-a-deployment-b9f6859d9-ddctb,istio-proxy,41.874,
1789318000.5750341,service-a-deployment-b9f6859d9-ddctb,service-a,141.679,3.082239
1789318000.8107631,service-a-deployment-b9f6859d9-ddctb,istio-proxy,42.331,
1789318002.186668,service-a-deployment-b9f6859d9-ddctb,service-a,119.684,3.102719
1789318002.425017,service-a-deployment-b9f6859d9-ddctb,istio-proxy,37.233,
1789318003.818161,service-a-deployment-b9f6859d9-ddctb,service-a,143.402,3.291135
1789318004.067567,service-a-deployment-b9f6859d9-ddctb,istio-proxy,48.817,
1789318005.44357,service-a-deployment-b9f6859d9-ddctb,service-a,159.993,3.387391
1789318005.71378,service-a-deployment-b9f6859d9-ddctb,istio-proxy,48.637,
1789318007.1308339,service-a-deployment-b9f6859d9-ddctb,service-a,160.027,3.350527
1789318007.408119,service-a-deployment-b9f6859d9-ddctb,istio-proxy,52.372,
1789318008.8190231,service-a-deployment-b9f6859d9-ddctb,service-a,193.627,3.588095
1789318009.094559,service-a-deployment-b9f6859d9-ddctb,istio-proxy,61.159,
1789318010.481666,service-a-deployment-b9f6859d9-ddctb,service-a,177.973,3.479551
1789318010.714866,service-a-deployment-b9f6859d9-ddctb,istio-proxy,57.959,
1789318012.0894752,service-a-deployment-b9f6859d9-ddctb,service-a,142.088,3.383295
1789318012.3297222,service-a-deployment-b9f6859d9-ddctb,istio-proxy,48.354,
1789318013.727346,service-a-deployment-b9f6859d9-ddctb,service-a,167.354,3.612671
