algorithm,stage,payload_kb,iterations,mean_us,p50_us,p99_us
HS256,full_verify,0.5,180000,25.975816,24.834000,35.917000
HS256,decode_only,0.5,180000,0.898354,0.875000,1.166000
HS256,primitive_preparsed,0.5,180000,1.324348,1.292000,1.625000
HS256,primitive_raw,0.5,180000,1.560725,1.292000,3.250000
HS256,full_verify,2,180000,28.270129,27.291000,36.500000
HS256,decode_only,2,180000,1.348527,1.292000,1.667000
HS256,primitive_preparsed,2,180000,1.931319,1.875000,2.334000
HS256,primitive_raw,2,180000,1.840359,1.750000,2.250000
HS256,full_verify,4,180000,31.854587,30.458000,43.583000
HS256,decode_only,4,180000,2.015658,1.917000,2.500000
HS256,primitive_preparsed,4,180000,2.687100,2.625000,3.292000
HS256,primitive_raw,4,180000,2.538804,2.417000,3.125000
RS256,full_verify,0.5,180000,28.689500,27.500000,36.125000
RS256,decode_only,0.5,180000,0.920493,0.875000,1.250000
RS256,primitive_preparsed,0.5,180000,11.150998,10.792000,15.708000
RS256,primitive_raw,0.5,180000,11.292481,10.792000,16.084000
RS256,full_verify,2,180000,31.407359,29.833000,39.291000
RS256,decode_only,2,180000,1.352991,1.292000,1.750000
RS256,primitive_preparsed,2,180000,11.575992,11.292000,15.958000
RS256,primitive_raw,2,180000,11.587888,11.292000,16.083000
RS256,full_verify,4,180000,34.296809,32.750000,42.750000
RS256,decode_only,4,180000,1.995261,1.917000,2.542000
RS256,primitive_preparsed,4,180000,12.404523,11.958000,16.875000
RS256,primitive_raw,4,180000,12.444387,11.959000,17.084000
