scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S1,local,50,50.033,3.0704,7.5180,48.563,26.055,2.712
S1,local,100,99.967,5.4593,80.1664,90.392,57.335,4.237
S1,local,150,150.033,3.1008,18.5610,93.253,63.054,3.621
S1,local,200,200.000,4.1937,55.6502,107.213,80.488,3.666
S1,local,250,250.033,1.9840,7.9210,87.270,70.440,2.816
S1,local,300,300.033,2.2997,12.5620,115.250,92.332,3.129
S1,local,350,350.000,2.0792,10.9303,121.101,99.776,2.972
S1,local,400,400.033,2.3538,15.8550,135.618,113.860,3.061
S1,local,450,450.033,3.8362,47.4480,181.554,149.368,3.713
S1,local,500,495.433,16.0682,318.8703,251.505,213.328,8.822
S1,local,550,549.700,4.4164,89.2300,194.001,161.764,3.639
S1,local,600,600.033,1.9076,12.5690,166.313,149.000,2.632
S1,local,650,650.033,1.9429,12.6900,175.377,162.810,2.586
S1,local,700,700.000,2.2622,22.1551,189.658,177.271,2.700
S1,local,750,750.033,2.0451,14.0760,199.662,188.178,2.514
S1,local,800,800.033,1.9631,12.8510,203.703,192.918,2.426
S1,local,850,850.033,3.0855,35.3810,230.544,214.194,2.610
S1,local,900,900.033,2.1312,17.5550,224.412,215.306,2.366
S1,local,950,940.833,15.8469,390.3680,319.371,298.393,6.573
S1,local,1000,1000.000,4.5143,69.6708,296.686,283.658,3.376
S3,local,50,50.033,3.2690,11.8890,39.872,27.242,2.866
S3,local,100,100.033,2.5539,8.1610,75.909,40.023,2.765
S3,local,150,150.000,2.3453,8.1265,83.874,53.595,2.931
S3,local,200,200.033,2.2486,10.9300,92.648,66.493,3.285
S3,local,250,250.033,2.6303,17.1770,111.385,85.594,3.509
S3,local,300,300.033,2.0007,9.9310,107.981,88.730,2.702
S3,local,350,350.033,1.8805,10.1960,111.735,94.362,3.025
S3,local,400,400.000,1.9244,11.6126,124.177,105.500,3.062
S3,local,450,450.033,1.9133,11.9710,135.702,117.070,3.171
S3,local,500,500.033,1.8194,12.1680,142.239,127.831,2.653
S3,local,550,550.033,1.7308,9.7050,147.920,132.536,2.703
S3,local,600,600.033,1.7698,10.3490,157.606,144.615,2.567
S3,local,650,650.033,1.8804,13.1480,171.515,158.783,2.542
S3,local,700,700.033,2.0491,14.4720,186.519,176.391,2.511
S3,local,750,750.033,2.4567,27.4760,193.404,183.811,2.705
S3,local,800,800.033,2.0487,15.4330,203.845,193.954,2.557
S3,local,850,850.000,1.8255,11.8231,211.836,203.329,2.397
S3,local,900,900.033,1.9198,12.4440,221.263,216.898,2.551
S3,local,950,950.033,1.9458,13.6610,234.428,228.605,2.551
S3,local,1000,1000.033,1.9990,13.1290,247.551,249.296,2.382
S5,local,50,50.000,3.4855,7.4781,82.924,23.527,3.167
S5,local,100,100.033,2.8779,7.2010,122.426,35.169,3.042
S5,local,150,150.000,2.5103,6.7758,149.235,45.784,2.986
S5,local,200,200.000,2.1764,5.5695,168.768,52.061,2.777
S5,local,250,250.033,2.0125,4.7430,193.539,58.882,2.773
S5,local,300,300.033,1.9758,5.1870,220.022,68.742,2.571
S5,local,350,350.000,2.1438,8.3362,262.697,83.697,3.034
S5,local,400,399.933,4.7024,91.1001,331.553,114.686,5.079
S5,local,450,449.533,5.2173,78.0437,382.673,140.348,6.173
S5,local,500,500.033,2.2721,11.2790,369.409,120.785,3.164
S5,local,550,550.033,3.8557,49.5680,433.133,147.481,4.536
S5,local,600,600.000,2.9171,21.2785,459.487,157.633,3.870
S5,local,650,650.033,2.7832,19.6770,490.475,167.027,3.466
S5,local,700,700.033,2.9112,20.6980,524.710,180.267,3.956
S5,local,750,750.033,5.2001,76.7680,575.824,197.954,5.599
S5,local,800,800.033,8.5184,103.1160,640.073,230.361,9.560
S5,local,850,850.033,19.5997,142.5870,734.028,279.038,20.900
S5,local,900,897.433,28.3395,301.1357,791.576,304.026,24.991
S5,local,950,940.967,88.3544,504.3912,876.631,345.597,99.351
S5,local,1000,990.000,104.7043,597.4208,913.424,348.162,105.449
S8,local,50,50.033,2.6795,6.6030,49.758,22.509,3.049
S8,local,100,100.000,3.3665,14.0657,87.698,49.818,3.164
S8,local,150,150.000,5.0980,31.6140,139.721,105.024,4.197
S8,local,200,200.033,2.7057,10.7010,112.737,86.640,3.281
S8,local,250,250.033,3.1127,16.6220,126.695,101.334,3.622
S8,local,300,299.900,3.9483,31.0846,136.681,113.669,3.689
S8,local,350,350.000,2.3746,11.6141,143.369,120.311,3.244
S8,local,400,400.033,3.5207,19.6740,200.917,174.307,3.573
S8,local,450,450.033,2.8344,17.9960,181.985,165.865,3.485
S8,local,500,500.033,3.4056,25.5900,206.647,183.568,3.679
S8,local,550,550.033,3.6429,28.5350,234.406,223.640,3.672
S8,local,600,600.033,9.8704,107.1370,386.281,353.680,6.948
S8,local,650,649.600,8.6232,93.0054,397.430,366.019,6.365
S8,local,700,699.700,8.0979,89.3683,394.136,384.910,5.748
S8,local,750,750.033,8.9316,86.7890,441.528,425.568,7.501
S8,local,800,799.433,9.1293,80.0373,456.654,436.866,5.982
S8,local,850,850.033,11.1322,113.4130,462.028,461.841,7.345
S8,local,900,897.633,16.7613,229.6494,488.887,474.394,7.421
S8,local,950,950.000,17.2012,147.5742,554.188,539.106,11.619
S8,local,1000,997.933,20.7080,220.6421,551.185,538.117,11.794
S9,local,50,50.000,3.0599,6.6441,108.606,21.543,2.920
S9,local,100,100.033,2.3338,5.8110,136.377,29.562,2.887
S9,local,150,150.033,2.0693,5.2970,165.611,37.987,2.859
S9,local,200,200.033,2.1020,8.1210,198.888,49.760,3.022
S9,local,250,248.133,43.5294,774.0350,426.539,135.363,23.205
S9,local,300,300.000,3.7170,22.7962,421.299,118.741,3.481
