# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789332668.207388,service-a-deployment-5fd8db696c-7mgn7,service-a,170.720,3.039231
1789332668.344376,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.210,
1789332669.604887,service-a-deployment-5fd8db696c-7mgn7,service-a,157.232,2.789375
1789332669.7414532,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,44.547,
1789332670.992773,service-a-deployment-5fd8db696c-7mgn7,service-a,158.447,2.451455
1789332671.134872,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.735,
1789332672.3935418,service-a-deployment-5fd8db696c-7mgn7,service-a,149.728,2.449407
1789332672.5243342,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,42.563,
1789332673.794894,service-a-deployment-5fd8db696c-7mgn7,service-a,169.477,2.525183
1789332673.940126,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,45.642,
1789332675.1903281,service-a-deployment-5fd8db696c-7mgn7,service-a,153.797,3.280895
1789332675.325633,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,44.337,
1789332676.589675,service-a-deployment-5fd8db696c-7mgn7,service-a,150.269,2.635775
1789332676.7297559,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,42.257,
1789332678.005569,service-a-deployment-5fd8db696c-7mgn7,service-a,166.158,2.551807
1789332678.144138,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,46.587,
1789332679.3955278,service-a-deployment-5fd8db696c-7mgn7,service-a,157.315,3.061759
1789332679.5277948,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.334,
1789332680.786844,service-a-deployment-5fd8db696c-7mgn7,service-a,160.690,2.959359
1789332680.923636,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.882,
1789332682.200898,service-a-deployment-5fd8db696c-7mgn7,service-a,158.934,2.842623
1789332682.3435168,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,52.008,
1789332683.6149309,service-a-deployment-5fd8db696c-7mgn7,service-a,152.135,3.233791
1789332683.748769,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.197,
1789332685.0159051,service-a-deployment-5fd8db696c-7mgn7,service-a,127.483,2.555903
1789332685.1682801,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,42.051,
1789332686.428909,service-a-deployment-5fd8db696c-7mgn7,service-a,154.756,3.002367
1789332686.564884,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,44.640,
1789332687.833936,service-a-deployment-5fd8db696c-7mgn7,service-a,152.407,2.951167
1789332687.9867,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,41.736,
1789332689.234059,service-a-deployment-5fd8db696c-7mgn7,service-a,133.824,3.090431
1789332689.401474,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,44.179,
1789332690.663799,service-a-deployment-5fd8db696c-7mgn7,service-a,155.367,3.358719
1789332690.798113,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.144,
1789332692.046728,service-a-deployment-5fd8db696c-7mgn7,service-a,151.379,3.033087
1789332692.189591,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,47.144,
1789332693.4505348,service-a-deployment-5fd8db696c-7mgn7,service-a,169.587,2.779135
1789332693.591511,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,45.620,
1789332694.838826,service-a-deployment-5fd8db696c-7mgn7,service-a,126.641,3.112959
1789332694.971667,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,42.415,
1789332696.2042298,service-a-deployment-5fd8db696c-7mgn7,service-a,156.742,2.557951
1789332696.341844,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,42.730,
1789332697.6168032,service-a-deployment-5fd8db696c-7mgn7,service-a,155.667,2.650111
1789332697.753719,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,51.572,
1789332699.010438,service-a-deployment-5fd8db696c-7mgn7,service-a,150.076,2.506751
1789332699.1457589,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,42.018,
1789332700.412708,service-a-deployment-5fd8db696c-7mgn7,service-a,150.091,2.801663
1789332700.545132,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,43.477,
1789332701.813792,service-a-deployment-5fd8db696c-7mgn7,service-a,154.510,3.123199
1789332701.9555252,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,47.482,
1789332703.197993,service-a-deployment-5fd8db696c-7mgn7,service-a,155.635,2.881535
1789332703.333258,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,45.139,
1789332704.562196,service-a-deployment-5fd8db696c-7mgn7,service-a,139.023,2.965503
1789332704.702923,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,45.395,
1789332705.976279,service-a-deployment-5fd8db696c-7mgn7,service-a,152.286,2.547711
1789332706.1288,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,45.795,
1789332707.387182,service-a-deployment-5fd8db696c-7mgn7,service-a,153.300,2.588671
1789332707.5334451,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,46.505,
1789332708.788707,service-a-deployment-5fd8db696c-7mgn7,service-a,141.428,2.617343
1789332708.9277692,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,44.245,
1789332710.172117,service-a-deployment-5fd8db696c-7mgn7,service-a,145.000,3.184639
1789332710.310397,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,45.455,
1789332711.545388,service-a-deployment-5fd8db696c-7mgn7,service-a,153.442,2.568191
1789332711.708986,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,48.660,
1789332712.9648309,service-a-deployment-5fd8db696c-7mgn7,service-a,141.398,2.902015
1789332713.105876,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,41.330,
1789332714.35435,service-a-deployment-5fd8db696c-7mgn7,service-a,141.935,2.609151
1789332714.504158,service-a-deployment-5fd8db696c-7mgn7,istio-proxy,47.451,
