# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789333413.078232,service-a-deployment-5fd8db696c-xrkg2,service-a,183.299,3.096575
1789333413.2399008,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,53.829,
1789333414.465676,service-a-deployment-5fd8db696c-xrkg2,service-a,154.077,4.171775
1789333414.604714,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,48.289,
1789333415.885768,service-a-deployment-5fd8db696c-xrkg2,service-a,142.873,2.965503
1789333416.043183,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,45.379,
1789333417.340589,service-a-deployment-5fd8db696c-xrkg2,service-a,157.492,3.024895
1789333417.5662389,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,52.188,
1789333418.819205,service-a-deployment-5fd8db696c-xrkg2,service-a,161.688,3.704831
1789333418.961215,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,46.412,
1789333420.2143118,service-a-deployment-5fd8db696c-xrkg2,service-a,168.657,3.059711
1789333420.352038,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,48.505,
1789333421.647104,service-a-deployment-5fd8db696c-xrkg2,service-a,173.327,3.039231
1789333421.799875,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,51.424,
1789333423.044281,service-a-deployment-5fd8db696c-xrkg2,service-a,146.993,3.174399
1789333423.182981,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,46.147,
1789333424.433648,service-a-deployment-5fd8db696c-xrkg2,service-a,150.658,3.164159
1789333424.5782511,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,45.890,
1789333425.851456,service-a-deployment-5fd8db696c-xrkg2,service-a,153.332,2.930687
1789333426.0108328,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,44.817,
1789333427.257316,service-a-deployment-5fd8db696c-xrkg2,service-a,141.194,2.627583
1789333427.4020631,service-a-deployment-5fd8db696c-xrkg2,istio-proxy,48.060,
1789333428.7120872,service-a-deployment-5fd8db696c-xrkg2,service-a,148.608,3.084287
