# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789333151.46948,service-a-deployment-7c6cccc7f6-4nrvn,service-a,70.832,3.039231
1789333151.620255,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,48.985,
1789333152.886027,service-a-deployment-7c6cccc7f6-4nrvn,service-a,87.182,3.352575
1789333153.026742,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,51.541,
1789333154.270047,service-a-deployment-7c6cccc7f6-4nrvn,service-a,78.143,3.196927
1789333154.417186,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,57.536,
1789333155.686583,service-a-deployment-7c6cccc7f6-4nrvn,service-a,66.747,2.969599
1789333155.8381991,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,46.218,
1789333157.117627,service-a-deployment-7c6cccc7f6-4nrvn,service-a,87.957,3.061759
1789333157.255973,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,52.322,
1789333158.507951,service-a-deployment-7c6cccc7f6-4nrvn,service-a,84.708,3.035135
1789333158.6694112,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,49.339,
1789333159.9400609,service-a-deployment-7c6cccc7f6-4nrvn,service-a,66.902,3.223551
1789333160.086069,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,53.712,
1789333161.344414,service-a-deployment-7c6cccc7f6-4nrvn,service-a,76.582,3.022847
1789333161.487413,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,51.354,
1789333162.73316,service-a-deployment-7c6cccc7f6-4nrvn,service-a,78.819,2.969599
1789333162.869159,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,56.490,
1789333164.107119,service-a-deployment-7c6cccc7f6-4nrvn,service-a,82.186,2.885631
1789333164.249811,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,49.973,
1789333165.51838,service-a-deployment-7c6cccc7f6-4nrvn,service-a,65.458,3.031039
1789333165.695103,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,50.935,
1789333166.988558,service-a-deployment-7c6cccc7f6-4nrvn,service-a,100.577,3.180543
1789333167.134031,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,60.938,
1789333168.411464,service-a-deployment-7c6cccc7f6-4nrvn,service-a,66.226,2.940927
1789333168.562158,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,51.785,
1789333169.825619,service-a-deployment-7c6cccc7f6-4nrvn,service-a,86.093,3.117055
1789333169.9660559,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,54.402,
1789333171.233859,service-a-deployment-7c6cccc7f6-4nrvn,service-a,69.460,3.022847
1789333171.386185,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,51.149,
1789333172.659764,service-a-deployment-7c6cccc7f6-4nrvn,service-a,69.017,2.883583
1789333172.804627,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,54.197,
1789333174.0549288,service-a-deployment-7c6cccc7f6-4nrvn,service-a,62.365,3.078143
1789333174.19793,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,47.229,
1789333175.477248,service-a-deployment-7c6cccc7f6-4nrvn,service-a,59.662,2.973695
1789333175.621257,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,47.885,
1789333176.8966231,service-a-deployment-7c6cccc7f6-4nrvn,service-a,72.294,3.823615
1789333177.043665,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,59.664,
1789333178.342913,service-a-deployment-7c6cccc7f6-4nrvn,service-a,68.552,2.893823
1789333178.48562,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,58.557,
1789333179.739069,service-a-deployment-7c6cccc7f6-4nrvn,service-a,66.089,2.945023
1789333179.895694,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,55.556,
1789333181.184118,service-a-deployment-7c6cccc7f6-4nrvn,service-a,54.258,3.155967
1789333181.3307588,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,47.800,
1789333182.591189,service-a-deployment-7c6cccc7f6-4nrvn,service-a,62.783,2.969599
1789333182.729586,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,46.027,
1789333184.034017,service-a-deployment-7c6cccc7f6-4nrvn,service-a,64.899,2.955263
1789333184.171423,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,54.947,
1789333185.4529111,service-a-deployment-7c6cccc7f6-4nrvn,service-a,63.261,2.938879
1789333185.6014369,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,48.360,
1789333186.8461068,service-a-deployment-7c6cccc7f6-4nrvn,service-a,65.727,2.850815
1789333186.986858,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,53.489,
1789333188.2517729,service-a-deployment-7c6cccc7f6-4nrvn,service-a,91.375,2.967551
1789333188.401527,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,52.094,
1789333189.654001,service-a-deployment-7c6cccc7f6-4nrvn,service-a,61.511,3.035135
1789333189.796295,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,50.350,
1789333191.040598,service-a-deployment-7c6cccc7f6-4nrvn,service-a,63.672,3.198975
1789333191.178817,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,50.961,
1789333192.468246,service-a-deployment-7c6cccc7f6-4nrvn,service-a,70.362,3.160063
1789333192.6149251,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,66.521,
1789333193.9002519,service-a-deployment-7c6cccc7f6-4nrvn,service-a,87.479,3.090431
1789333194.049267,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,55.379,
1789333195.300398,service-a-deployment-7c6cccc7f6-4nrvn,service-a,56.928,2.963455
1789333195.4413362,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,48.731,
1789333196.710573,service-a-deployment-7c6cccc7f6-4nrvn,service-a,62.717,2.955263
1789333196.856993,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,55.350,
1789333198.1166358,service-a-deployment-7c6cccc7f6-4nrvn,service-a,65.177,3.203071
1789333198.256953,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,53.919,
1789333199.514673,service-a-deployment-7c6cccc7f6-4nrvn,service-a,82.203,2.945023
1789333199.6612449,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,57.695,
1789333200.95299,service-a-deployment-7c6cccc7f6-4nrvn,service-a,60.655,3.282943
1789333201.118606,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,57.811,
1789333202.4325492,service-a-deployment-7c6cccc7f6-4nrvn,service-a,67.077,2.965503
1789333202.628693,service-a-deployment-7c6cccc7f6-4nrvn,istio-proxy,52.966,
1789333203.880791,service-a-deployment-7c6cccc7f6-4nrvn,service-a,72.964,3.565567
