scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms
S5,local,200,200.000,2.4363,6.8520
S5,local,400,400.067,2.5490,13.6440
S5,local,600,600.067,2.6461,15.6000
S5,local,800,800.067,8.3772,113.9740
S5,local,1000,972.467,159.0603,780.0249
S5,local,1200,639.667,1898.4409,10265.6205
S5,local,1400,51.200,12817.6587,20491.2918
S5,local,1600,66.533,0.0000,0.0000
S5,local,1800,327.600,0.0000,0.0000
S5,local,2000,237.000,0.0000,0.0000
S5,local,2200,708.400,0.0000,0.0000
S5,local,2400,372.533,36.0942,0.0000
