scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,200,200.000,2.4363,6.8520,189.329,58.797,3.224
S5,local,400,400.067,2.5490,13.6440,311.461,102.299,3.654
S5,local,600,600.067,2.6461,15.6000,454.100,148.468,3.423
S5,local,800,800.067,8.3772,113.9740,633.878,217.731,10.830
S5,local,1000,972.467,159.0603,780.0249,900.353,389.866,110.445
S5,local,1200,639.667,1898.4409,10265.6205,900.822,475.410,201.982
S5,local,1400,51.200,12817.6587,20491.2918,,,
S5,local,1600,66.533,0.0000,0.0000,,,
S5,local,1800,327.600,0.0000,0.0000,,,
S5,local,2000,237.000,0.0000,0.0000,,,
S5,local,2200,708.400,0.0000,0.0000,,,
S5,local,2400,372.533,36.0942,0.0000,,,
