# pod CPU samples, backend=cgroup interval=1s selector=app=service-a namespace=default
t_unix,pod,container,cpu_millicores,eventloop_lag_p99_ms
1789296482.267335,service-a-deployment-6f799bd666-976nt,service-a,194.006,3.399679
1789296482.5748942,service-a-deployment-6f799bd666-976nt,istio-proxy,59.664,
1789296483.9765818,service-a-deployment-6f799bd666-976nt,service-a,190.169,3.332095
1789296484.2323499,service-a-deployment-6f799bd666-976nt,istio-proxy,63.330,
1789296485.617706,service-a-deployment-6f799bd666-976nt,service-a,186.155,3.426303
1789296485.857099,service-a-deployment-6f799bd666-976nt,istio-proxy,53.392,
1789296487.25383,service-a-deployment-6f799bd666-976nt,service-a,190.125,3.284991
1789296487.516433,service-a-deployment-6f799bd666-976nt,istio-proxy,59.371,
1789296488.919303,service-a-deployment-6f799bd666-976nt,service-a,179.019,3.033087
1789296489.171388,service-a-deployment-6f799bd666-976nt,istio-proxy,59.062,
1789296490.5836139,service-a-deployment-6f799bd666-976nt,service-a,200.207,2.981887
1789296490.824456,service-a-deployment-6f799bd666-976nt,istio-proxy,53.256,
1789296492.206638,service-a-deployment-6f799bd666-976nt,service-a,175.593,3.043327
1789296492.447357,service-a-deployment-6f799bd666-976nt,istio-proxy,55.268,
1789296493.839765,service-a-deployment-6f799bd666-976nt,service-a,199.360,3.287039
1789296494.081271,service-a-deployment-6f799bd666-976nt,istio-proxy,67.029,
1789296495.4843972,service-a-deployment-6f799bd666-976nt,service-a,180.685,3.076095
1789296495.7841349,service-a-deployment-6f799bd666-976nt,istio-proxy,80.528,
1789296497.2111921,service-a-deployment-6f799bd666-976nt,service-a,352.978,3.641343
1789296497.440925,service-a-deployment-6f799bd666-976nt,istio-proxy,100.089,
1789296498.840103,service-a-deployment-6f799bd666-976nt,service-a,315.384,3.432447
1789296499.0725162,service-a-deployment-6f799bd666-976nt,istio-proxy,96.845,
1789296500.497045,service-a-deployment-6f799bd666-976nt,service-a,307.758,3.401727
1789296500.7200482,service-a-deployment-6f799bd666-976nt,istio-proxy,94.013,
1789296502.124289,service-a-deployment-6f799bd666-976nt,service-a,300.301,3.467263
1789296502.356271,service-a-deployment-6f799bd666-976nt,istio-proxy,93.484,
1789296503.734933,service-a-deployment-6f799bd666-976nt,service-a,378.835,5.365759
1789296503.97716,service-a-deployment-6f799bd666-976nt,istio-proxy,146.046,
1789296505.398001,service-a-deployment-6f799bd666-976nt,service-a,315.448,3.477503
1789296505.635517,service-a-deployment-6f799bd666-976nt,istio-proxy,99.931,
1789296507.053452,service-a-deployment-6f799bd666-976nt,service-a,338.951,3.573759
1789296507.286933,service-a-deployment-6f799bd666-976nt,istio-proxy,113.127,
1789296508.663092,service-a-deployment-6f799bd666-976nt,service-a,312.812,3.446783
1789296508.895453,service-a-deployment-6f799bd666-976nt,istio-proxy,96.630,
1789296510.290943,service-a-deployment-6f799bd666-976nt,service-a,311.396,3.440639
1789296510.5530639,service-a-deployment-6f799bd666-976nt,istio-proxy,103.464,
1789296511.9577951,service-a-deployment-6f799bd666-976nt,service-a,444.682,3.172351
1789296512.186502,service-a-deployment-6f799bd666-976nt,istio-proxy,133.638,
1789296513.5883431,service-a-deployment-6f799bd666-976nt,service-a,454.496,2.949119
1789296513.8332999,service-a-deployment-6f799bd666-976nt,istio-proxy,157.324,
1789296515.23349,service-a-deployment-6f799bd666-976nt,service-a,450.805,2.598911
1789296515.486752,service-a-deployment-6f799bd666-976nt,istio-proxy,145.242,
1789296516.971524,service-a-deployment-6f799bd666-976nt,service-a,458.525,2.867199
1789296517.370358,service-a-deployment-6f799bd666-976nt,istio-proxy,163.517,
1789296518.786038,service-a-deployment-6f799bd666-976nt,service-a,604.612,6.795263
1789296519.025012,service-a-deployment-6f799bd666-976nt,istio-proxy,198.250,
1789296520.423779,service-a-deployment-6f799bd666-976nt,service-a,462.517,3.536895
1789296520.656139,service-a-deployment-6f799bd666-976nt,istio-proxy,140.778,
1789296522.060651,service-a-deployment-6f799bd666-976nt,service-a,429.903,2.514943
1789296522.2982779,service-a-deployment-6f799bd666-976nt,istio-proxy,136.854,
1789296523.70858,service-a-deployment-6f799bd666-976nt,service-a,469.964,2.932735
1789296523.962989,service-a-deployment-6f799bd666-976nt,istio-proxy,157.148,
1789296525.388721,service-a-deployment-6f799bd666-976nt,service-a,456.196,2.621439
1789296525.700028,service-a-deployment-6f799bd666-976nt,istio-proxy,183.698,
1789296527.11176,service-a-deployment-6f799bd666-976nt,service-a,605.385,8.155135
1789296527.345991,service-a-deployment-6f799bd666-976nt,istio-proxy,184.640,
1789296528.736077,service-a-deployment-6f799bd666-976nt,service-a,609.186,3.217407
1789296528.9910872,service-a-deployment-6f799bd666-976nt,istio-proxy,204.316,
1789296530.4113522,service-a-deployment-6f799bd666-976nt,service-a,653.459,3.033087
1789296530.647443,service-a-deployment-6f799bd666-976nt,istio-proxy,209.007,
1789296532.027646,service-a-deployment-6f799bd666-976nt,service-a,602.957,4.743167
1789296532.261568,service-a-deployment-6f799bd666-976nt,istio-proxy,189.664,
1789296533.956351,service-a-deployment-6f799bd666-976nt,service-a,818.694,42.926079
1789296534.358614,service-a-deployment-6f799bd666-976nt,istio-proxy,393.618,
1789296535.816298,service-a-deployment-6f799bd666-976nt,service-a,755.431,25.395199
1789296536.057131,service-a-deployment-6f799bd666-976nt,istio-proxy,218.676,
1789296537.469097,service-a-deployment-6f799bd666-976nt,service-a,592.401,2.435071
1789296537.722261,service-a-deployment-6f799bd666-976nt,istio-proxy,185.653,
1789296539.121695,service-a-deployment-6f799bd666-976nt,service-a,611.192,4.943871
1789296539.361087,service-a-deployment-6f799bd666-976nt,istio-proxy,190.306,
1789296540.844925,service-a-deployment-6f799bd666-976nt,service-a,664.329,3.504127
1789296541.1510131,service-a-deployment-6f799bd666-976nt,istio-proxy,248.254,
1789296542.756025,service-a-deployment-6f799bd666-976nt,service-a,825.681,32.931839
1789296543.402533,service-a-deployment-6f799bd666-976nt,istio-proxy,449.381,
1789296545.265162,service-a-deployment-6f799bd666-976nt,service-a,993.307,252.182527
1789296545.7612631,service-a-deployment-6f799bd666-976nt,istio-proxy,443.431,
1789296547.168836,service-a-deployment-6f799bd666-976nt,service-a,925.694,160.432127
1789296547.731916,service-a-deployment-6f799bd666-976nt,istio-proxy,351.258,
1789296549.865587,service-a-deployment-6f799bd666-976nt,service-a,916.489,207.093759
1789296550.2147682,service-a-deployment-6f799bd666-976nt,istio-proxy,484.000,
1789296551.7623198,service-a-deployment-6f799bd666-976nt,service-a,992.691,4.575231
1789296552.161649,service-a-deployment-6f799bd666-976nt,istio-proxy,344.327,
1789296554.0119958,service-a-deployment-6f799bd666-976nt,service-a,984.283,112.394239
1789296554.373842,service-a-deployment-6f799bd666-976nt,istio-proxy,408.414,
1789296557.064917,service-a-deployment-6f799bd666-976nt,service-a,900.822,201.981951
1789296557.614502,service-a-deployment-6f799bd666-976nt,istio-proxy,475.410,
