macro,value_in_paper,source_file
AbCpuDelta,76.92,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbCpuJwt,146.38,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbCpuNone,69.45,data/runs/INSITU-AB-authmode-none/openloop_ramp.csv
AbCpuPerRequestUs,384.6,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbRate,200,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
EnvKubernetesVersion,1.32.2,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
EnvNodeVersion,26.6.0,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
Fifty,50,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
Five,5,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
FourHundred,400,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
GapEffectPreparsedRatio,24.2,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoHundredMsPreparsed,233.25,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
Hundred,100,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
InsituAppSharePct,28,data/runs/INSITU-2026-09-14-verify-cost/openloop_ramp.csv
InsituClientMean,1944,data/runs/INSITU-2026-09-14-verify-cost/openloop_ramp.csv
InsituHandlerMean,548.98,data/runs/INSITU-2026-09-14-verify-cost/after.prom
InsituVerifyMean,421.21,data/runs/INSITU-2026-09-14-verify-cost/after.prom
InsituVersusMicrobenchRatio,16.2,data/runs/INSITU-2026-09-14-verify-cost/after.prom + data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
KfAlgRatioPreparsed,3.9,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsConvPct,98.1,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsPreparsed,8.26,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsRatio,52.8,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsString,435.72,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsStringIterations,40000,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsPreparsed,31.99,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsRatio,5.4,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsString,171.80,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
MbFullVerifySpreadPct,2.7,data/runs/2026-09-13T20-34-41Z-microbench/microbench.spread.txt
MbHsHalfKbDecode,0.895,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbFull,26.01,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbPrimitive,1.484,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbPrimitivePct,5.7,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbResidual,23.63,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbResidualPct,90.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbFull,29.00,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbPrimitive,11.159,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
Ten,10,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
TightPreparsed,9.63,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TwentyFive,25,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
TwoHundred,200,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
VrAlgRatioFive,1.59,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrAlgRatioFourHundred,1.50,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
VrConvPctFive,76,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrConvPctFourHundred,91,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsPreparsedAscFiveMean,221.42,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedAscFourHundredMean,39.38,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsStringAscFiveMean,928.24,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrPassAgreementPct,10.7,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrSavedFive,706.82,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
