macro,value,source_file
AbCpuDelta,76.92,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbCpuJwt,146.38,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbCpuNone,69.45,data/runs/INSITU-AB-authmode-none/openloop_ramp.csv
AbCpuPerRequestUs,384.6,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbLatencyJwt,2.0332,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
AbLatencyNone,1.6802,data/runs/INSITU-AB-authmode-none/openloop_ramp.csv
AbRate,200,data/runs/INSITU-AB-authmode-jwt/openloop_ramp.csv
EnvKubernetesVersion,1.32.2,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
EnvNodeVersion,26.6.0,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
Fifty,50,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
Five,5,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
FourHundred,400,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
GapEffectPreparsedRatio,24.2,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapEffectStringRatio,2.7,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapFiftyMsKeyRatio,6.6,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapFiftyMsPreparsed,157.01,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapFiftyMsString,1037.51,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTenMsKeyRatio,6.7,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTenMsPreparsed,111.49,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTenMsString,747.82,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoHundredMsKeyRatio,4.8,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoHundredMsPreparsed,233.25,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoHundredMsString,1125.88,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoMsKeyRatio,7.3,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoMsPreparsed,87.73,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
GapTwoMsString,637.32,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
Hundred,100,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
InsituAppSharePct,28,data/runs/INSITU-2026-09-14-verify-cost/openloop_ramp.csv
InsituClientMean,1944,data/runs/INSITU-2026-09-14-verify-cost/openloop_ramp.csv
InsituHandlerMean,548.98,data/runs/INSITU-2026-09-14-verify-cost/after.prom
InsituVerifyMean,421.21,data/runs/INSITU-2026-09-14-verify-cost/after.prom
InsituVersusMicrobenchRatio,16.2,data/runs/INSITU-2026-09-14-verify-cost/after.prom + data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
KfAlgRatioPreparsed,3.9,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfAlgRatioString,0.39,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsConvPct,98.1,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsPreparsed,8.26,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsPreparsedIterations,40000,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsPreparsedPFifty,7.17,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsRatio,52.8,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsString,435.72,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsStringIterations,40000,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfHsStringPFifty,421.17,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsConvPct,81.4,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsPreparsed,31.99,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsPreparsedIterations,40000,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsPreparsedPFifty,29.42,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsRatio,5.4,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsString,171.80,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsStringIterations,40000,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
KfRsStringPFifty,162.33,data/runs/KEYFORM-2026-09-14/keyform_incontainer.csv
MbFullVerifySpreadPct,2.7,data/runs/2026-09-13T20-34-41Z-microbench/microbench.spread.txt
MbHsFourKbDecode,2.090,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsFourKbFull,31.40,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsFourKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsFourKbPrimitive,2.613,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsFourKbPrimitivePct,8.3,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsFourKbResidual,26.70,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsFourKbResidualPct,85.0,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbDecode,0.895,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbFull,26.01,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbPrimitive,1.484,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbPrimitivePct,5.7,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbResidual,23.63,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsHalfKbResidualPct,90.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbDecode,1.355,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbFull,28.67,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbPrimitive,1.904,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbPrimitivePct,6.6,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbResidual,25.41,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbHsTwoKbResidualPct,88.6,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbDecode,2.009,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbFull,34.31,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbPrimitive,12.422,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbPrimitivePct,36.2,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbResidual,19.88,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsFourKbResidualPct,57.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbDecode,0.894,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbFull,29.00,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbPrimitive,11.159,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbPrimitivePct,38.5,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbResidual,16.95,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsHalfKbResidualPct,58.4,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbDecode,1.353,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbFull,30.90,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbIterations,180000,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbPrimitive,12.028,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbPrimitivePct,38.9,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbResidual,17.51,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbRsTwoKbResidualPct,56.7,data/runs/2026-09-13T20-34-41Z-microbench/microbench.csv
MbWorstStageSpreadPct,12.6,data/runs/2026-09-13T20-34-41Z-microbench/microbench.spread.txt
Ten,10,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
TightKeyRatio,43.1,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TightPreparsed,9.63,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TightString,415.43,data/runs/MECHANISM-2026-09-14-interarrival-gap/gap_keyform_incontainer.csv
TwentyFive,25,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
TwoHundred,200,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/run_metadata.json
VrAlgRatioFifty,1.60,data/runs/2026-09-14T06-41-56Z-verifyrate-rs256/verify_rate_curve.csv
