repo,path,lang,bucket,algorithms,evidence
12anupa-baral/Mern3_Project2,server.ts,ts,unknown,unspecified,envConfig.jwt as string
12anupa-baral/Mern3_Project2,server.ts,ts,unknown,unspecified,envConfig.jwt as string
24hourkirtan/audio-streaming-apis,utils/jwt.js,js,unknown,unspecified,SECRET (untraced)
ANGELKORADIYA/Quiz,db.js,js,env_string,unspecified,secretKey = process.env.SECRET_KEY
ANGELKORADIYA/Quiz,db.js,js,env_string,unspecified,secretKey = process.env.SECRET_KEY
Amber-bisht/askSync,lib/jwt.ts,ts,env_string,unspecified,secret = process.env.NEXTAUTH_SECRET!
Angelxv01/thullo,index.ts,ts,unknown,unspecified,SECRET (untraced)
ApryseSDK/website-reviewer,auth.ts,ts,env_string,unspecified,process.env.COLLAB_KEY
Asciugano/A11yLab,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
Asura-lab/meeting_app,lib/jwt.ts,ts,env_string,unspecified,secret = process.env.JWT_SECRET
Ayomishuga/Cardano-Bounties,proxy.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET!
Ayomishuga/Cardano-Bounties,proxy.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET!
Ayush-207/mysubs-server,index.ts,ts,env_string,unspecified,"process.env.JWT_KEY || ""randomsecret"""
Baiyuetribe/express-ffmpeg-docker,app.js,js,unknown,unspecified,setting[0].antikey
BijuDey/express-backend,jwt.js,js,env_string,unspecified,process.env.JWT_SECRET
Bishwajit-2810/Voting_Application_node,jwt.js,js,env_string,unspecified,process.env.JWT_SECRET
Brajesh31/Voting_Application,jwt.js,js,env_string,unspecified,process.env.JWT_SECRET
BrooklinJazz/dm-binder-deprecated,index.ts,ts,env_string,unspecified,"process.env.JWT_SECRET_KEY || """""
BryanBerger98/lodge-v2,lib/jwt.ts,ts,unknown,unspecified,JWT_SECRET (untraced)
CarlosHxH/autocar,auth.ts,ts,unknown,unspecified,"env.AUTH_SECRET (member, untraced)"
CarlosHxH/autocar,auth.ts,ts,unknown,unspecified,secret as string
CeleritasCodingZen/cryptography,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
CeleritasCodingZen/cryptography,proxy.ts,ts,env_string,unspecified,process.env.ADMIN_JWT_SECRET!
CeleritasCodingZen/cryptography,proxy.ts,ts,env_string,unspecified,process.env.ADMIN_JWT_SECRET!
Codaisseur/typestack-day-example,src/jwt.ts,ts,env_string,unspecified,secret = process.env.JWT_SECRET || '9u8nnjksfdt98*(&*%T$#hs
Cosen95/rest_node_api,app/routes/users.js,js,unknown,unspecified,secret (untraced)
D-Y-Innovations/casl-sample,src/jwt.ts,ts,string_literal,unspecified,'secret'
DoubleXm/part-time,services/users.js,js,unknown,unspecified,secret (untraced)
DoubleXm/part-time,services/users.js,js,unknown,unspecified,secret (untraced)
DoubleXm/part-time,services/users.js,js,unknown,unspecified,secret (untraced)
DoubleXm/part-time,services/users.js,js,unknown,unspecified,secret (untraced)
DoubleXm/part-time,services/users.js,js,unknown,unspecified,secret (untraced)
DzenDyn/baseBackend,src/utils/jwtHelper.js,js,file_contents,RS,"REFRESH_PUBLIC_KEY = fs.readFileSync(refreshPublic, 'utf8')"
ErickWendel/postman-is-slowing-you-down,recorded/app/api.js,js,string_literal,unspecified,"TOKEN_KEY = ""abc123"""
FilPassOps/FilPass,lib/jwt.ts,ts,env_string,unspecified,secretOrPublicKey || (process.env.APP_SECRET as string)
FilipeFilpe/medium-api-jwt,src/auth.js,js,string_literal,unspecified,PRIVATE_KEY = '1010FFF'
FollowTheFlo/DeliveryMagnet-Shopify-App,shared.ts,ts,env_string,unspecified,process.env.SHOPIFY_API_SECRET
FullstackAcademy/acme-auth-notes,db.js,js,env_string,unspecified,process.env.JWT
FullstackAcademy/acme-oauth-2207-fsa,db.js,js,env_string,unspecified,process.env.JWT
FullstackAcademy/acme-oauth,db.js,js,env_string,unspecified,process.env.JWT
GDGVIT/groff-editor-backend,app.js,js,env_string,unspecified,process.env.JWT_KEY
Halocrea/halocrea-stream-overlay,server/io.js,js,env_string,unspecified,process.env.JWT_SECRET
HandyOSS/HandyHost,CommonUtils.js,js,file_contents,unspecified,"jwtKey = fs.readFileSync(jwtPath,'utf8').trim()"
HiFaraz/express-tokenware,spec/provideSpec.js,js,string_literal,unspecified,secretKey = 'someSecretKey'
IExpreso/Backend,app.js,js,unknown,unspecified,secret (untraced)
IExpreso/Backend,app.js,js,unknown,unspecified,secret (untraced)
IhsanulAfkar/emoney-gopay-api,mw.js,js,env_string,unspecified,process.env.dbsecrectoken
ImFropZ/CoffeeShopAPI,utils.ts,ts,env_string,unspecified,"process.env.ACCESS_TOKEN_SECRET ?? """""
JartigaRox/00171124_practica7_seccion1,app.js,js,string_literal,unspecified,"JWT_SECRET = ""your_jwt_secret"""
Jeeban-2006/DSA-Sync,lib/jwt.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'fallback-secret-key-cha
Jikuto4322/RTCtoBCS,src/ws.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'dev_secret'
Jikuto4322/RTCtoBCS,src/ws.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'dev_secret'
Karan0990/EduMart,proxy.ts,ts,env_string,unspecified,process.env.TOKEN_SECRET!
Keith3895/financeTracker,api/middleware/index.js,js,env_string,unspecified,process.env.salt
Kevin-Chen19/GoodJobs,server/util/JWT.js,js,string_literal,unspecified,secret = 'Kevin'
Kevin-Chen19/GoodJobs,server/util/JWT.js,js,string_literal,unspecified,refresh_secret = 'Ckx'
Knightluozichu/blogServer,jwt.ts,ts,unknown,unspecified,"config.secret (member, untraced)"
MalikWhitten67/xavierdb,entry.ts,ts,env_string,unspecified,"process.env.TOKEN_SECRET || ""secret"""
MalikWhitten67/xavierdb,entry.ts,ts,env_string,unspecified,"process.env.TOKEN_SECRET || ""secret"""
MiG247/SmartLockerServer,jwt.js,js,string_literal,unspecified,secret = 'QIe1g0fDwAf7cQp$cx*Is4hfWI@67PRdwcI5CT@hjYD0QjTqQ
MiljanSjekloca01/cinema-backend-2024,utils.ts,ts,env_string,unspecified,process.env.ACCESS_TOKEN_SECRET as string
MiriSpitzer/de_pot,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
Monir-Ruet/Emap,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
MujtabaCoder/RMS-restaurant-management-system-nodejs,jwt.js,js,string_literal,unspecified,'muj7021'
NSWSESMembers/availability-poc,server/src/main.js,js,unknown,unspecified,JWT_SECRET (untraced)
Narendra0266/school-management-system,proxy.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET!
NatCanCode/booking-table-v2,app.js,js,string_literal,unspecified,"SECRET_KEY = ""secretkey23456"""
NisH-4x/node_hotels,jwt.js,js,env_string,unspecified,process.env.JWT_SECRET
OXOYO/X-RESTful-API-Generator-Koa,src/auth.js,js,unknown,unspecified,"CookieConfig.keys.secret (member, untraced)"
OXOYO/X-WebDesktop-Api-Koa,src/auth.js,js,unknown,unspecified,"cookieConfig.keys.secret (member, untraced)"
OnZeng/chat-room-server,src/utils/jwt.js,js,env_string,unspecified,process.env.TOKEN_SECRET
OnZeng/chat-room-server,src/utils/jwt.js,js,env_string,unspecified,process.env.TOKEN_SECRET
Paarth5/Car_Service_Booking,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
Paarth5/Car_Service_Booking,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
Pi-Control/Pi-Control,src/app.ts,ts,unknown,unspecified,config.getSalt()
R-s0n/Damn_Vulnerable_Node_App,app.js,js,string_literal,HS,'password'
R-s0n/Damn_Vulnerable_Node_App,app.js,js,string_literal,HS,'password'
