corpus,repo,path,git_blob_sha1,sha256,bytes,verdict_repo_level,repo_head_commit_at_manifest_time
sample,ErickWendel/aulao-tajs-template,api.js,ce4d862e64bba9750b81f436cc2d6fa555c868c6,27cf3f0eab792375fa1760cb10d39a62a124de9382e3df12406b4ebd38e032b9,1253,,a2a94c33fb0a7ec9fe08b676d92eeb2af67cd257
sample,bartdorsey/express-jwt-cookies-demo-app,app.js,6021f488f129823690da4c96803846e8186b1de8,785cf302b441aa6b539afac2ea33e07a9b8ccbf006e29d78d4b11b8440e0e272,2355,,82d87bb9e9329ba47822eb6bc51c7dd4aa8e91e2
sample,opentok/opentok-jwt,lib.js,a368d667b31325785ebd385e9c7b8b7b26910403,a6825bd78b799de3d2559e33dbe3ae695a22b251c782b7fb963e457f4a338d64,1736,,f367dd8b067e796a76958399175efbad61f7727d
sample,akshitgrover/hacken,jwt.js,ed9c5a8dd6877b9fe0bdfe5efbae1f5fe5c90d5e,46fe66e4806f2178a5e2197ef06e2f2040460267e3449e3f0de5538e193a8379,876,,fcb8f6fbebf6ea768c5142d5f6a92e1f3fc2d7d9
sample,jackmeagher/iqms,app.js,71c277fc7004d48c4ddd829b491418632d631d30,4ec2dd2915c35940049bd6f6a438b757839a56efb043c8cf610b0ef859988988,1770,,e2ea6b61ba5f26df6e23cea68349da94687269d5
sample,hudsonmcmanus/reminder-app,jwt.js,507f16f752d6d0cc02b7bf671f29e1aaa001a31a,3ff516b12b04b466795e3ca8ac0aa3ef8ade99d7f85ab05eba2f48417ddfa846,619,,a9c5ac5b06ca3d6613291556d0160cfc77bb0def
sample,krshubham/codeslam,app.js,8447e64245d3912b94cd85d065c1d02c57ad20f9,e883098c5aa59f1119260ae89738a9696fb7ef60de5097740490c625f0140f5f,2240,,ebbc1e17b09babc97f89b5cd7e355e355a837486
sample,FullstackAcademy/acme-auth-notes,db.js,c6b169febfebe1d3ac9db8a3bb7722836c385aab,7667fbd3ab7fefed3bc56ee27adf80e65b104f33a6e57e33800aeab223d2e7da,1851,,6cf6beee80727da93b934f1361629c54183644de
sample,andygock/auth-server,app.js,b3fc901945f8cd643f06874cf1dd0d6c7a4e8a48,5c79ac406d1859081022b8bd264c9774acd10546e52e9b476d5265c825c594a4,11216,,b4d112dff3edf93472cf1b2d9209a214f7076719
sample,appacademy/practice-for-week-12-jwt-exploration-short-practice,app.js,1ff926f379f8155f3a450c268c2ce45dc3599e3d,71bff543538ef787ab7dc32909101ab9def471d45dddcff98d964958110b5b96,1340,,922b6d4780db06efeab3e338361c79c1bedcc61d
sample,vueneue/examples,api.js,56629f0f2aa5528214cff686fca944f0c1f49bd8,ab0cd09f067f5bee2234d76e2c5368c79134e31e22a40d6b6ddf897782e9a883,1636,,c5bd083d6e0ac2b25a828f1642ec62d446d6f76e
sample,siteslave/express-onefile,jwt.js,d0ca3c035c9519fc152ab3e62b98204342058616,b2796a0befca08198a87e91e365fa690b4e83f53487f8157a1b1fe162ef27629,454,,2005121c4255d78dfcc5dbd833f1a078c9e3eba3
sample,Baiyuetribe/express-ffmpeg-docker,app.js,22a97e6a75f9e4ea39f8a78c7ad0e3d84c1c59fe,a355ea019e323c2ff796077fefed432f77cd249251a2779c474e220b975afbc6,9070,,4bce29afd5839e3e3c3c1fd6b2bc9a5df2ca89e6
sample,MiG247/SmartLockerServer,jwt.js,edeed37bede458f317713daf38c80bedb86103a2,8d923216886e0071936e2a119de659c89951f404bec5bb8fd4e9eabbc1439bfb,557,,723bed313de4acc954e3a908bd8cbeed4bcecc7f
sample,vonnieda/WhoaLife,app.js,edeb2d17466ced09fbae4336768adb986eeaf5b1,cd0ea09e3cc323a9502ea34dfb90fb7d93f0169cfe49a3e5b9a59c2ddd02e9c8,6891,,b74af93903a7496e4318f0e93a8f238da4b12764
sample,summerwollin/arenajs,app.js,f75601662d38352b2a8337b2dff2f6573d9029e1,042e675300587254299c0b4dac77996aae672b1bed4b7bf3cd1213ca6b439109,2474,,ae2452b14e7b3521a22ba2219b795948f6786610
sample,bwobbones/resource,app.js,90c5cbd985fd9b337cf50f37fcb070482ef6b5d0,fa90126f26517315db55fdf47677f71b61f20536488863cad23657db693645c5,4398,,96cfb27d8f5e5ec8e64bf412dce005aa22fd41cd
sample,GDGVIT/groff-editor-backend,app.js,072ff194aed08bfb4bee68510ce3826cb1fa85a6,de9a154f6c961327c1e93f2d4dbb6c9f95579fb30b39b5da67ab9a7943e47b12,3921,,b45f33470bb21bd0509150721c4faf2001283144
sample,laibao101/captcha-demo,app.js,970df1255da09d9ed9f1fcee441294c2d54d1d16,74e82a235a981200f61552a3f78809b2dacef319aa078d66cd95857f26591df1,1723,,e5f4d8c3923359d35e1dc5d726e59000cb2324b1
sample,IExpreso/Backend,app.js,c6c90f8c370eff2ab95f594df549b4c563621887,344b3985aca8948b48547e6a256ba2d316e6bd85d82f0bbfc45e38cea10f7ccb,3343,,7d5851928cf44fb481e916eb303c43621eadc132
sample,tpiros/marklogic-jwt-authentication,app.js,5c35d708397f487ee7f16680b5280676550a3436,1c7004f3615d807dacd5acace8a3c46ab4b0ddef8fcdfb838542abfb74ef6dbf,1829,,3eb452c9ca8391de032267b8aeb8e333a0dfbce4
sample,top-universe/cohort2.0_backend_api,app.js,c55df2ba7caeb2b614c0deddb4cb06fd873b4042,2b5266410961ecf7ea89234339246d3091344801acd688e4bfb50595fb9603b2,1701,,800d28d0000df6432da49f058fbf23df0b591e68
sample,Bishwajit-2810/Voting_Application_node,jwt.js,09621fe3c32d10840ce1740b7f5dd12abb556499,572a84654b4b82ee60a29b90062add181edcda3aa3e98e7c4b2bb30370403712,763,,927960697964665197c4b8893823a1ebe178e764
sample,R-s0n/Damn_Vulnerable_Node_App,app.js,06a5f74e3707397122d5457d0863b4747b5b560b,c95dc40ba688914ee1c23380e8ef5a3b2c7e0fb2147d860e27831b2fa90ec5d7,9024,,6b9ccf1146188fb8c5159ff6939499a3fe1d3838
sample,TalaoDAO/qrcode-generator,app.js,948f635e5211f69651fb8e389f269c71181ec292,b9d879254015236b2e23cc5d0ee808c5e1a4cb9691e7914644f8dfbd4c4169a0,1427,,feb0b6c2e2a647226a6b9018b33e866ef0e69153
sample,techtuxbr/Express.js-User-Auth-API,app.js,7c766b20dd835f829c19343b94ef3836781d25d6,2eb14e1f69de980dd321f1aad31319bfae16f91cf36cc31f8c03228c4e8b53cf,1473,,b09826f754eae4b0e36c3ebd446f2bbbdd80c147
sample,RiyanshYogi/JWT,app.js,6a83766f6a3d20ccae19e4e9ed6de10b96f8338d,90e8a2cb98df4859076be25b63a6b10289048128f8ebba9368fb3a28c0bbcff3,2101,,e717941a39fdc16af4f1d804f85b8054505924e5
sample,gauravlanjekar/lambda-oidc-authenticator,lib.js,eadf66fd05e69bf2571461a002bd5a32fc7911e4,2eb46458589ad72c78c080e6482bf8debd2a3e6168a0b1961b626c2dde476db9,4146,,09982af6c96b82b3ade3800e51574ecf4fc18355
sample,mrtayguney/snapremote-server,app.js,31fad25c9faf79fe587476fc44ba11f040baf400,9797eca7df8e83ea3c14258c5cbaff88e3f4b750d8cdd7aa3d7f102b42024bdd,20162,,9c85707f7276be50832db7e7a3a518579abd1edf
sample,navgurukul/snake-ladders-api,app.js,b23c553e951429f91e5942364916454a65de1bb8,68ddb9c337448f80a8a465881c96382e75d96f052f1210726d6277c24e1de05e,2471,,a032d9e79abdf02e05d1d5273aa816e5dafe9092
sample,fredysiswanto/foodtrip-api,app.js,60c12d28542bddb72ba3c38c45ba6fefa2b4f355,b103e24cf8dcd2fe8a9c4fd7974100011848d1093bc96d96377f11ddc8c6eff5,5513,,34e0f067fd54a3d15359736c22a5deb129001276
sample,IhsanulAfkar/emoney-gopay-api,mw.js,7fa62c39f0afc0837bdb5d1aac347294744eeef1,034827bcf516ff7031be7e9f1c1ef6fed2cedcd038a3448339c7392831ec31dc,1175,,0feb63c7cb1a14516fcb6aa5d5f9fc341edfe452
