repo,path,file,how,pos,previously_matched
ErickWendel/aulao-tajs-template,api.js,ErickWendel_aulao-tajs-template__api.js.txt,JWT.verify,728,False
bartdorsey/express-jwt-cookies-demo-app,app.js,bartdorsey_express-jwt-cookies-demo-app__app.js.txt,jwt.verify,826,True
opentok/opentok-jwt,lib.js,opentok_opentok-jwt__lib.js.txt,jwt.verify,1545,True
akshitgrover/hacken,jwt.js,akshitgrover_hacken__jwt.js.txt,jwt.verify,482,True
jackmeagher/iqms,app.js,jackmeagher_iqms__app.js.txt,jwt.verify,384,True
hudsonmcmanus/reminder-app,jwt.js,hudsonmcmanus_reminder-app__jwt.js.txt,jwt.verify,525,True
FullstackAcademy/acme-auth-notes,db.js,FullstackAcademy_acme-auth-notes__db.js.txt,jwt.verify,651,True
andygock/auth-server,app.js,andygock_auth-server__app.js.txt,jwt.verify,6166,True
vueneue/examples,api.js,vueneue_examples__api.js.txt,jwt.verify,853,True
vueneue/examples,api.js,vueneue_examples__api.js.txt,jwt.verify,1236,True
siteslave/express-onefile,jwt.js,siteslave_express-onefile__jwt.js.txt,jwt.verify,296,True
Baiyuetribe/express-ffmpeg-docker,app.js,Baiyuetribe_express-ffmpeg-docker__app.js.txt,jwt.verify,3412,True
MiG247/SmartLockerServer,jwt.js,MiG247_SmartLockerServer__jwt.js.txt,jwt.verify,374,True
GDGVIT/groff-editor-backend,app.js,GDGVIT_groff-editor-backend__app.js.txt,jwt.verify,2199,True
laibao101/captcha-demo,app.js,laibao101_captcha-demo__app.js.txt,jwt.verify,421,True
IExpreso/Backend,app.js,IExpreso_Backend__app.js.txt,jwt.verify,1700,True
IExpreso/Backend,app.js,IExpreso_Backend__app.js.txt,jwt.verify,2276,True
tpiros/marklogic-jwt-authentication,app.js,tpiros_marklogic-jwt-authentication__app.js.txt,jwt.verify,546,True
Bishwajit-2810/Voting_Application_node,jwt.js,Bishwajit-2810_Voting_Application_node__jwt.js.txt,jwt.verify,411,True
R-s0n/Damn_Vulnerable_Node_App,app.js,R-s0n_Damn_Vulnerable_Node_App__app.js.txt,jwt.verify,3842,True
R-s0n/Damn_Vulnerable_Node_App,app.js,R-s0n_Damn_Vulnerable_Node_App__app.js.txt,jwt.verify,4540,True
R-s0n/Damn_Vulnerable_Node_App,app.js,R-s0n_Damn_Vulnerable_Node_App__app.js.txt,jwt.verify,5640,True
R-s0n/Damn_Vulnerable_Node_App,app.js,R-s0n_Damn_Vulnerable_Node_App__app.js.txt,jwt.verify,6657,True
R-s0n/Damn_Vulnerable_Node_App,app.js,R-s0n_Damn_Vulnerable_Node_App__app.js.txt,jwt.verify,7932,True
TalaoDAO/qrcode-generator,app.js,TalaoDAO_qrcode-generator__app.js.txt,jwt.verify,897,True
techtuxbr/Express.js-User-Auth-API,app.js,techtuxbr_Express.js-User-Auth-API__app.js.txt,jwt.verify,1037,True
RiyanshYogi/JWT,app.js,RiyanshYogi_JWT__app.js.txt,jwt.verify,1434,True
gauravlanjekar/lambda-oidc-authenticator,lib.js,gauravlanjekar_lambda-oidc-authenticator__lib.js.txt,jwt.verify,3565,True
mrtayguney/snapremote-server,app.js,mrtayguney_snapremote-server__app.js.txt,jwt.verify,4480,True
fredysiswanto/foodtrip-api,app.js,fredysiswanto_foodtrip-api__app.js.txt,jwt.verify,1897,True
IhsanulAfkar/emoney-gopay-api,mw.js,IhsanulAfkar_emoney-gopay-api__mw.js.txt,jwt.verify,414,True
frendifdp/Clone-Carousell-Backend,app.js,frendifdp_Clone-Carousell-Backend__app.js.txt,jwt.verify,1460,True
NisH-4x/node_hotels,jwt.js,NisH-4x_node_hotels__jwt.js.txt,jwt.verify,542,True
arnia-unibuc/boilerplate,app.js,arnia-unibuc_boilerplate__app.js.txt,jwt.verify,665,True
WildCodeSchool/paris-js-0918-groupe9-node,app.js,WildCodeSchool_paris-js-0918-groupe9-node__app.js.txt,jwt.verify,1490,True
Brajesh31/Voting_Application,jwt.js,Brajesh31_Voting_Application__jwt.js.txt,jwt.verify,388,True
ANGELKORADIYA/Quiz,db.js,ANGELKORADIYA_Quiz__db.js.txt,jwt.verify,2474,True
ANGELKORADIYA/Quiz,db.js,ANGELKORADIYA_Quiz__db.js.txt,jwt.verify,2806,True
FullstackAcademy/acme-oauth,db.js,FullstackAcademy_acme-oauth__db.js.txt,jwt.verify,530,True
ceaplicados/ntropresupuesto-api,app.js,ceaplicados_ntropresupuesto-api__app.js.txt,jwt.verify,1510,True
ceaplicados/ntropresupuesto-api,app.js,ceaplicados_ntropresupuesto-api__app.js.txt,jwt.verify,2221,True
RiddleASL/AJS-CA1,app.js,RiddleASL_AJS-CA1__app.js.txt,jwt.verify,474,True
cruzboj/web-server,JWT.js,cruzboj_web-server__JWT.js.txt,jwt.verify,302,True
cruzboj/web-server,JWT.js,cruzboj_web-server__JWT.js.txt,jwt.verify,664,True
cruzboj/web-server,JWT.js,cruzboj_web-server__JWT.js.txt,jwt.verify,1028,True
JartigaRox/00171124_practica7_seccion1,app.js,JartigaRox_00171124_practica7_seccion1__app.js.txt,jwt.verify,652,True
haxcod/fastwin-server,app.js,haxcod_fastwin-server__app.js.txt,jwt.verify,220,True
BijuDey/express-backend,jwt.js,BijuDey_express-backend__jwt.js.txt,jwt.verify,399,True
tvelic1/Medic-API,jwt.js,tvelic1_Medic-API__jwt.js.txt,jwt.verify,572,True
raj-kumar94/checkout-extension-react,app.js,raj-kumar94_checkout-extension-react__app.js.txt,jwt.verify,1505,True
