TIMESTAMP,POD,CPU,MEMORY
2025-11-17T23:33:53,service-a-deployment-6bd85fb6c9-crbb6,1m,56Mi
2025-11-17T23:33:53,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:33:53,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:33:59,service-a-deployment-6bd85fb6c9-crbb6,1m,56Mi
2025-11-17T23:33:59,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:33:59,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:34:04,service-a-deployment-6bd85fb6c9-crbb6,0m,56Mi
2025-11-17T23:34:04,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:34:04,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:34:09,service-a-deployment-6bd85fb6c9-crbb6,0m,56Mi
2025-11-17T23:34:09,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:34:09,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:34:14,service-a-deployment-6bd85fb6c9-crbb6,0m,56Mi
2025-11-17T23:34:14,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:34:14,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-17T23:34:19,service-a-deployment-6bd85fb6c9-crbb6,25m,32Mi
2025-11-17T23:34:19,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:34:19,ingress-nginx-controller-6ccdb49bd4-vwfs4,16m,140Mi
2025-11-17T23:34:24,service-a-deployment-6bd85fb6c9-crbb6,25m,32Mi
2025-11-17T23:34:24,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:34:24,ingress-nginx-controller-6ccdb49bd4-vwfs4,16m,140Mi
2025-11-17T23:34:29,service-a-deployment-6bd85fb6c9-crbb6,25m,32Mi
2025-11-17T23:34:29,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:34:29,ingress-nginx-controller-6ccdb49bd4-vwfs4,16m,140Mi
2025-11-17T23:34:34,service-a-deployment-6bd85fb6c9-crbb6,57m,47Mi
2025-11-17T23:34:34,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:34:34,ingress-nginx-controller-6ccdb49bd4-vwfs4,40m,141Mi
2025-11-17T23:34:40,service-a-deployment-6bd85fb6c9-crbb6,57m,47Mi
2025-11-17T23:34:40,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:34:40,ingress-nginx-controller-6ccdb49bd4-vwfs4,40m,141Mi
2025-11-17T23:34:45,service-a-deployment-6bd85fb6c9-crbb6,57m,47Mi
2025-11-17T23:34:45,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-17T23:34:45,ingress-nginx-controller-6ccdb49bd4-vwfs4,40m,141Mi
2025-11-17T23:34:50,service-a-deployment-6bd85fb6c9-crbb6,64m,41Mi
2025-11-17T23:34:50,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:34:50,ingress-nginx-controller-6ccdb49bd4-vwfs4,41m,141Mi
2025-11-17T23:34:55,service-a-deployment-6bd85fb6c9-crbb6,64m,41Mi
2025-11-17T23:34:55,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-17T23:34:55,ingress-nginx-controller-6ccdb49bd4-vwfs4,41m,141Mi
2025-11-17T23:35:00,service-a-deployment-6bd85fb6c9-crbb6,64m,41Mi
2025-11-17T23:35:00,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
