TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:03:53,service-a-deployment-6bd85fb6c9-crbb6,1m,61Mi
2025-11-18T00:03:53,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-18T00:03:58,service-a-deployment-6bd85fb6c9-crbb6,1m,61Mi
2025-11-18T00:03:58,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-18T00:04:03,service-a-deployment-6bd85fb6c9-crbb6,0m,61Mi
2025-11-18T00:04:03,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-18T00:04:08,service-a-deployment-6bd85fb6c9-crbb6,0m,61Mi
2025-11-18T00:04:08,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-18T00:04:13,service-a-deployment-6bd85fb6c9-crbb6,0m,61Mi
2025-11-18T00:04:13,service-b-deployment-78897db9dc-d2wvw,1m,16Mi
2025-11-18T00:04:18,service-a-deployment-6bd85fb6c9-crbb6,24m,43Mi
2025-11-18T00:04:18,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-18T00:04:23,service-a-deployment-6bd85fb6c9-crbb6,24m,43Mi
2025-11-18T00:04:23,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-18T00:04:29,service-a-deployment-6bd85fb6c9-crbb6,24m,43Mi
2025-11-18T00:04:29,service-b-deployment-78897db9dc-d2wvw,0m,16Mi
2025-11-18T00:04:34,service-a-deployment-6bd85fb6c9-crbb6,55m,43Mi
2025-11-18T00:04:34,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:04:39,service-a-deployment-6bd85fb6c9-crbb6,55m,43Mi
2025-11-18T00:04:39,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:04:44,service-a-deployment-6bd85fb6c9-crbb6,55m,43Mi
2025-11-18T00:04:44,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:04:49,service-a-deployment-6bd85fb6c9-crbb6,55m,56Mi
2025-11-18T00:04:49,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:04:54,service-a-deployment-6bd85fb6c9-crbb6,55m,56Mi
2025-11-18T00:04:54,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:04:59,service-a-deployment-6bd85fb6c9-crbb6,55m,56Mi
2025-11-18T00:04:59,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:05:04,service-a-deployment-6bd85fb6c9-crbb6,52m,59Mi
2025-11-18T00:05:04,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:05:09,service-a-deployment-6bd85fb6c9-crbb6,52m,59Mi
2025-11-18T00:05:09,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:05:15,service-a-deployment-6bd85fb6c9-crbb6,52m,59Mi
2025-11-18T00:05:15,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:05:20,service-a-deployment-6bd85fb6c9-crbb6,48m,59Mi
2025-11-18T00:05:20,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:05:25,service-a-deployment-6bd85fb6c9-crbb6,48m,59Mi
2025-11-18T00:05:25,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:05:30,service-a-deployment-6bd85fb6c9-crbb6,48m,59Mi
