TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:23:51,service-a-deployment-6bd85fb6c9-crbb6,1m,60Mi
2025-11-18T00:23:51,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:23:51,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,134Mi
2025-11-18T00:23:56,service-a-deployment-6bd85fb6c9-crbb6,0m,60Mi
2025-11-18T00:23:56,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:23:56,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,134Mi
2025-11-18T00:24:01,service-a-deployment-6bd85fb6c9-crbb6,0m,60Mi
2025-11-18T00:24:01,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:24:01,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,134Mi
2025-11-18T00:24:06,service-a-deployment-6bd85fb6c9-crbb6,0m,60Mi
2025-11-18T00:24:06,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:24:06,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,134Mi
2025-11-18T00:24:11,service-a-deployment-6bd85fb6c9-crbb6,12m,60Mi
2025-11-18T00:24:11,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:24:11,ingress-nginx-controller-6ccdb49bd4-vwfs4,25m,136Mi
2025-11-18T00:24:16,service-a-deployment-6bd85fb6c9-crbb6,12m,60Mi
2025-11-18T00:24:16,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:24:16,ingress-nginx-controller-6ccdb49bd4-vwfs4,25m,136Mi
2025-11-18T00:24:22,service-a-deployment-6bd85fb6c9-crbb6,12m,60Mi
2025-11-18T00:24:22,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:24:22,ingress-nginx-controller-6ccdb49bd4-vwfs4,25m,136Mi
2025-11-18T00:24:27,service-a-deployment-6bd85fb6c9-crbb6,48m,42Mi
2025-11-18T00:24:27,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:24:27,ingress-nginx-controller-6ccdb49bd4-vwfs4,52m,139Mi
2025-11-18T00:24:32,service-a-deployment-6bd85fb6c9-crbb6,48m,42Mi
2025-11-18T00:24:32,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:24:32,ingress-nginx-controller-6ccdb49bd4-vwfs4,52m,139Mi
2025-11-18T00:24:37,service-a-deployment-6bd85fb6c9-crbb6,48m,42Mi
