TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:55:55,service-a-deployment-5b66648874-k9scn,0m,61Mi
2025-11-18T00:55:55,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:55:55,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-18T00:56:00,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:56:00,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:00,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-18T00:56:05,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:56:05,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:05,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-18T00:56:10,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:56:10,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:10,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,139Mi
2025-11-18T00:56:15,service-a-deployment-5b66648874-k9scn,15m,61Mi
2025-11-18T00:56:15,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:56:15,ingress-nginx-controller-6ccdb49bd4-vwfs4,17m,141Mi
2025-11-18T00:56:21,service-a-deployment-5b66648874-k9scn,15m,61Mi
2025-11-18T00:56:21,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:56:21,ingress-nginx-controller-6ccdb49bd4-vwfs4,17m,141Mi
2025-11-18T00:56:26,service-a-deployment-5b66648874-k9scn,91m,40Mi
2025-11-18T00:56:26,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:26,ingress-nginx-controller-6ccdb49bd4-vwfs4,46m,145Mi
2025-11-18T00:56:31,service-a-deployment-5b66648874-k9scn,91m,40Mi
2025-11-18T00:56:31,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:31,ingress-nginx-controller-6ccdb49bd4-vwfs4,46m,145Mi
2025-11-18T00:56:36,service-a-deployment-5b66648874-k9scn,91m,40Mi
2025-11-18T00:56:36,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:36,ingress-nginx-controller-6ccdb49bd4-vwfs4,46m,145Mi
2025-11-18T00:56:41,service-a-deployment-5b66648874-k9scn,112m,53Mi
2025-11-18T00:56:41,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:56:41,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,145Mi
2025-11-18T00:56:46,service-a-deployment-5b66648874-k9scn,112m,53Mi
2025-11-18T00:56:46,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:56:46,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,145Mi
2025-11-18T00:56:51,service-a-deployment-5b66648874-k9scn,112m,53Mi
2025-11-18T00:56:51,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:56:51,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,145Mi
2025-11-18T00:56:56,service-a-deployment-5b66648874-k9scn,107m,60Mi
2025-11-18T00:56:56,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:56:56,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,146Mi
2025-11-18T00:57:01,service-a-deployment-5b66648874-k9scn,107m,60Mi
2025-11-18T00:57:01,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:57:01,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,146Mi
2025-11-18T00:57:07,service-a-deployment-5b66648874-k9scn,107m,60Mi
2025-11-18T00:57:07,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:57:07,ingress-nginx-controller-6ccdb49bd4-vwfs4,39m,146Mi
2025-11-18T00:57:12,service-a-deployment-5b66648874-k9scn,94m,60Mi
2025-11-18T00:57:12,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:57:12,ingress-nginx-controller-6ccdb49bd4-vwfs4,33m,147Mi
2025-11-18T00:57:17,service-a-deployment-5b66648874-k9scn,94m,60Mi
2025-11-18T00:57:17,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:57:17,ingress-nginx-controller-6ccdb49bd4-vwfs4,33m,147Mi
2025-11-18T00:57:22,service-a-deployment-5b66648874-k9scn,94m,60Mi
2025-11-18T00:57:22,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:57:22,ingress-nginx-controller-6ccdb49bd4-vwfs4,33m,147Mi
2025-11-18T00:57:27,service-a-deployment-5b66648874-k9scn,101m,61Mi
2025-11-18T00:57:27,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:57:27,ingress-nginx-controller-6ccdb49bd4-vwfs4,36m,147Mi
2025-11-18T00:57:32,service-a-deployment-5b66648874-k9scn,101m,61Mi
2025-11-18T00:57:32,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:57:32,ingress-nginx-controller-6ccdb49bd4-vwfs4,36m,147Mi
2025-11-18T00:57:37,service-a-deployment-5b66648874-k9scn,101m,61Mi
2025-11-18T00:57:37,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:57:37,ingress-nginx-controller-6ccdb49bd4-vwfs4,36m,147Mi
2025-11-18T00:57:42,service-a-deployment-5b66648874-k9scn,27m,61Mi
2025-11-18T00:57:42,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:57:42,ingress-nginx-controller-6ccdb49bd4-vwfs4,13m,142Mi
2025-11-18T00:57:47,service-a-deployment-5b66648874-k9scn,27m,61Mi
2025-11-18T00:57:47,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:57:47,ingress-nginx-controller-6ccdb49bd4-vwfs4,13m,142Mi
2025-11-18T00:57:53,service-a-deployment-5b66648874-k9scn,27m,61Mi
2025-11-18T00:57:53,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:57:53,ingress-nginx-controller-6ccdb49bd4-vwfs4,13m,142Mi
2025-11-18T00:57:58,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:57:58,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:57:58,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,142Mi
2025-11-18T00:58:03,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:58:03,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:58:03,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,142Mi
2025-11-18T00:58:08,service-a-deployment-5b66648874-k9scn,1m,61Mi
2025-11-18T00:58:08,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:58:08,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,142Mi
2025-11-18T00:58:13,service-a-deployment-5b66648874-k9scn,0m,61Mi
2025-11-18T00:58:13,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:13,ingress-nginx-controller-6ccdb49bd4-vwfs4,5m,142Mi
2025-11-18T00:58:18,service-a-deployment-5b66648874-k9scn,0m,61Mi
2025-11-18T00:58:18,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:58:18,ingress-nginx-controller-6ccdb49bd4-vwfs4,5m,142Mi
