TIMESTAMP,POD,CPU,MEMORY
2025-11-18T01:10:00,service-a-deployment-6b86ddfb68-n85jg,4m,60Mi
2025-11-18T01:10:00,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:10:00,ingress-nginx-controller-6ccdb49bd4-vwfs4,7m,144Mi
2025-11-18T01:10:05,service-a-deployment-6b86ddfb68-n85jg,4m,60Mi
2025-11-18T01:10:05,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:10:05,ingress-nginx-controller-6ccdb49bd4-vwfs4,7m,144Mi
2025-11-18T01:10:11,service-a-deployment-6b86ddfb68-n85jg,1m,60Mi
2025-11-18T01:10:11,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:10:11,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,144Mi
2025-11-18T01:10:16,service-a-deployment-6b86ddfb68-n85jg,1m,60Mi
2025-11-18T01:10:16,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:10:16,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,144Mi
2025-11-18T01:10:21,service-a-deployment-6b86ddfb68-n85jg,1m,60Mi
2025-11-18T01:10:21,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:10:21,ingress-nginx-controller-6ccdb49bd4-vwfs4,3m,144Mi
2025-11-18T01:10:26,service-a-deployment-6b86ddfb68-n85jg,37m,33Mi
2025-11-18T01:10:26,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:10:26,ingress-nginx-controller-6ccdb49bd4-vwfs4,30m,147Mi
2025-11-18T01:10:31,service-a-deployment-6b86ddfb68-n85jg,37m,33Mi
2025-11-18T01:10:31,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:10:31,ingress-nginx-controller-6ccdb49bd4-vwfs4,30m,147Mi
2025-11-18T01:10:36,service-a-deployment-6b86ddfb68-n85jg,37m,33Mi
2025-11-18T01:10:36,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:10:36,ingress-nginx-controller-6ccdb49bd4-vwfs4,30m,147Mi
2025-11-18T01:10:41,service-a-deployment-6b86ddfb68-n85jg,110m,44Mi
2025-11-18T01:10:41,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:10:41,ingress-nginx-controller-6ccdb49bd4-vwfs4,45m,149Mi
2025-11-18T01:10:46,service-a-deployment-6b86ddfb68-n85jg,110m,44Mi
2025-11-18T01:10:46,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:10:46,ingress-nginx-controller-6ccdb49bd4-vwfs4,45m,149Mi
2025-11-18T01:10:52,service-a-deployment-6b86ddfb68-n85jg,110m,44Mi
2025-11-18T01:10:52,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:10:52,ingress-nginx-controller-6ccdb49bd4-vwfs4,45m,149Mi
2025-11-18T01:10:57,service-a-deployment-6b86ddfb68-n85jg,113m,57Mi
2025-11-18T01:10:57,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:10:57,ingress-nginx-controller-6ccdb49bd4-vwfs4,41m,149Mi
2025-11-18T01:11:02,service-a-deployment-6b86ddfb68-n85jg,113m,57Mi
2025-11-18T01:11:02,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:11:02,ingress-nginx-controller-6ccdb49bd4-vwfs4,41m,149Mi
2025-11-18T01:11:07,service-a-deployment-6b86ddfb68-n85jg,113m,57Mi
2025-11-18T01:11:07,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:11:07,ingress-nginx-controller-6ccdb49bd4-vwfs4,41m,149Mi
2025-11-18T01:11:12,service-a-deployment-6b86ddfb68-n85jg,100m,58Mi
2025-11-18T01:11:12,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:11:12,ingress-nginx-controller-6ccdb49bd4-vwfs4,35m,150Mi
2025-11-18T01:11:17,service-a-deployment-6b86ddfb68-n85jg,100m,58Mi
2025-11-18T01:11:17,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:11:17,ingress-nginx-controller-6ccdb49bd4-vwfs4,35m,150Mi
2025-11-18T01:11:22,service-a-deployment-6b86ddfb68-n85jg,100m,58Mi
2025-11-18T01:11:22,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:11:22,ingress-nginx-controller-6ccdb49bd4-vwfs4,35m,150Mi
2025-11-18T01:11:27,service-a-deployment-6b86ddfb68-n85jg,105m,60Mi
2025-11-18T01:11:27,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:11:27,ingress-nginx-controller-6ccdb49bd4-vwfs4,37m,149Mi
2025-11-18T01:11:32,service-a-deployment-6b86ddfb68-n85jg,105m,60Mi
2025-11-18T01:11:32,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:11:32,ingress-nginx-controller-6ccdb49bd4-vwfs4,37m,149Mi
2025-11-18T01:11:38,service-a-deployment-6b86ddfb68-n85jg,105m,60Mi
2025-11-18T01:11:38,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:11:38,ingress-nginx-controller-6ccdb49bd4-vwfs4,37m,149Mi
2025-11-18T01:11:43,service-a-deployment-6b86ddfb68-n85jg,85m,60Mi
2025-11-18T01:11:43,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:11:43,ingress-nginx-controller-6ccdb49bd4-vwfs4,32m,149Mi
2025-11-18T01:11:48,service-a-deployment-6b86ddfb68-n85jg,85m,60Mi
2025-11-18T01:11:48,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:11:48,ingress-nginx-controller-6ccdb49bd4-vwfs4,32m,149Mi
2025-11-18T01:11:53,service-a-deployment-6b86ddfb68-n85jg,85m,60Mi
2025-11-18T01:11:53,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T01:11:53,ingress-nginx-controller-6ccdb49bd4-vwfs4,32m,149Mi
2025-11-18T01:11:58,service-a-deployment-6b86ddfb68-n85jg,8m,60Mi
2025-11-18T01:11:58,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:11:58,ingress-nginx-controller-6ccdb49bd4-vwfs4,6m,144Mi
2025-11-18T01:12:03,service-a-deployment-6b86ddfb68-n85jg,8m,60Mi
2025-11-18T01:12:03,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T01:12:03,ingress-nginx-controller-6ccdb49bd4-vwfs4,6m,144Mi
